player_name,stat_family,market,is_alternate,line,side,book,odds,projection_mu,sigma,model_probability,fair_probability,implied_probability,edge,hit_rate_l5,hit_rate_l10,hit_rate_l20,cv,home_team,away_team,commence_time,event_id
Andy Pages,hits,batter_hits,False,0.5,OVER,betmgm,-200,1.7864964008331299,0.4714045207910317,0.9968243484878863,0.9968243484878863,0.6666666666666666,0.33015768182121963,100.0,90.0,70.0,0.4714045207910317,Houston Astros,Los Angeles Dodgers,2026-05-06T18:11:00Z,de734f0e0ca302bf4a6c20844ec6127c
Miguel Andujar,hits,batter_hits,False,0.5,OVER,fliff,-270,1.4422147274017334,0.6666666666666666,0.9212194792860686,0.9212194792860686,0.7297297297297297,0.1914897495563389,80.0,80.0,75.0,0.6666666666666666,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Heliot Ramos,hits,batter_hits,False,0.5,OVER,fliff,-235,1.4255507373809815,0.8755950357709131,0.854756398695476,0.854756398695476,0.7014925373134329,0.15326386138204318,80.0,80.0,75.0,0.7959954870644664,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Heliot Ramos,hits,batter_hits,False,0.5,OVER,betonlineag,-208,1.4255507373809815,0.8755950357709131,0.854756398695476,0.854756398695476,0.6753246753246753,0.1794317233708007,80.0,80.0,75.0,0.7959954870644664,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Miguel Andujar,hits,batter_hits,False,0.5,OVER,betonlineag,-233,1.4422147274017334,0.6666666666666666,0.9212194792860686,0.9212194792860686,0.6996996996996997,0.22151977958636893,80.0,80.0,75.0,0.6666666666666666,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Miguel Andujar,hits,batter_hits,False,0.5,OVER,draftkings,-246,1.4422147274017334,0.6666666666666666,0.9212194792860686,0.9212194792860686,0.7109826589595376,0.21023682032653102,80.0,80.0,75.0,0.6666666666666666,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Heliot Ramos,hits,batter_hits,False,0.5,OVER,draftkings,-206,1.4255507373809815,0.8755950357709131,0.854756398695476,0.854756398695476,0.673202614379085,0.18155378431639102,80.0,80.0,75.0,0.7959954870644664,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Heliot Ramos,hits,batter_hits,False,0.5,OVER,hardrockbet,-210,1.4255507373809815,0.8755950357709131,0.854756398695476,0.854756398695476,0.6774193548387096,0.1773370438567664,80.0,80.0,75.0,0.7959954870644664,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Miguel Andujar,hits,batter_hits,False,0.5,OVER,hardrockbet,-250,1.4422147274017334,0.6666666666666666,0.9212194792860686,0.9212194792860686,0.7142857142857143,0.20693376500035432,80.0,80.0,75.0,0.6666666666666666,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
Heliot Ramos,hits,batter_hits,False,0.5,OVER,ballybet,-205,1.4255507373809815,0.8755950357709131,0.854756398695476,0.854756398695476,0.6721311475409836,0.18262525115449246,80.0,80.0,75.0,0.7959954870644664,San Francisco Giants,San Diego Padres,2026-05-06T19:46:00Z,bd85ab302972ab39355e0e7baa91a454
