player_name,team,opponent,stat_type,line,side,is_alt,projection,tier_ref_book,tier_ref_odds,dk_odds,fd_odds,mgm_odds,bol_odds,pp_odds,sharp_odds,sharp_book,anchor_book,p_true,fair_prob,edge_vs_fair,tp,pp_utility,cv,hr_l20,hr_l10,vision_score,vision_v2,tier_reason,canonical_key
Jalen Duren,,,PTS,11.5,OVER,True,,dk,-373,-373,,,,-137,,,prizepicks,0.6966,0.7886,-0.092,78.9,60.4,0.4437,75.0,60.0,29.1,29.1,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Jalen Duren|PTS|11.5|OVER
Evan Mobley,,,REB,6.5,OVER,True,,dk,-368,-368,,,,-137,,,prizepicks,0.75,0.7863,-0.0363,78.6,63.2,0.4259,75.0,70.0,33.5,33.55,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Evan Mobley|REB|6.5|OVER
Donovan Mitchell,,,PTS,19.5,OVER,True,,dk,-367,-367,-390,,,-137,,,prizepicks,0.9115,0.7859,0.1256,79.1,65.0,0.3523,75.0,80.0,42.4,42.43,safe_haven_failed: gate_hit_rate_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Donovan Mitchell|PTS|19.5|OVER
Duncan Robinson,,,player_points_rebounds_alternate,9.5,OVER,True,,dk,-356,-356,,,,-137,,,prizepicks,0.8195,0.7807,0.0388,78.1,65.0,0.3614,85.0,80.0,35.3,35.3,safe_haven_failed: gate_market_structure_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Duncan Robinson|player_points_rebounds_alternate|9.5|OVER
Tobias Harris,,,player_points_rebounds_alternate,19.5,OVER,True,,dk,-352,-352,,,,-137,,,prizepicks,0.8072,0.7788,0.0284,77.9,65.0,0.3627,65.0,80.0,32.3,32.33,safe_haven_failed: gate_hit_rate_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Tobias Harris|player_points_rebounds_alternate|19.5|OVER
De'Aaron Fox,,,AST,4.5,OVER,True,,dk,-350,-350,,-350,-476,-137,,,prizepicks,0.7,0.7778,-0.0778,79.4,61.1,0.3102,70.0,70.0,33.4,33.4,safe_haven_failed: gate_edge_fail,nba|219920e3a715ceb3dc69f3638f7571d5|De'Aaron Fox|AST|4.5|OVER
Julius Randle,,,3PM,0.5,OVER,True,,dk,-349,-349,-350,-350,,-137,,,prizepicks,0.6,0.7775,-0.1775,77.8,56.1,0.9884,60.0,70.0,12.7,12.71,safe_haven_failed: gate_edge_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Julius Randle|3PM|0.5|OVER
Jaden McDaniels,,,PRA,19.5,OVER,True,,dk,-341,-341,,,,-137,,,prizepicks,0.9006,0.7732,0.1274,77.3,65.0,0.4266,60.0,80.0,40.3,40.34,safe_haven_failed: gate_hit_rate_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Jaden McDaniels|PRA|19.5|OVER
Jalen Duren,,,REB,7.5,OVER,True,,dk,-341,-341,-390,,,-137,,,prizepicks,0.85,0.7732,0.0768,78.5,65.0,0.2472,85.0,90.0,38.2,38.21,safe_haven_failed: gate_vision_score_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Jalen Duren|REB|7.5|OVER
De'Aaron Fox,,,player_points_assists_alternate,19.5,OVER,True,,dk,-334,-334,-330,,,-137,,,prizepicks,0.6509,0.7696,-0.1187,71.7,59.1,0.2496,75.0,80.0,30.0,30.0,safe_haven_failed: gate_edge_fail,nba|219920e3a715ceb3dc69f3638f7571d5|De'Aaron Fox|player_points_assists_alternate|19.5|OVER
Julius Randle,,,player_points_assists_alternate,19.5,OVER,True,,dk,-333,-333,,,,-137,,,prizepicks,0.7652,0.7691,-0.0039,76.9,64.8,0.323,65.0,70.0,30.1,30.08,safe_haven_failed: gate_edge_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Julius Randle|player_points_assists_alternate|19.5|OVER
James Harden,,,PTS,14.5,OVER,True,,dk,-332,-332,-360,,,-137,,,prizepicks,0.9704,0.7685,0.2019,77.6,65.0,0.2707,90.0,100.0,51.1,51.12,safe_haven_failed: gate_vision_score_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|James Harden|PTS|14.5|OVER
Ayo Dosunmu,,,REB,2.5,OVER,True,,dk,-330,-330,,-450,-323,-137,,,prizepicks,0.75,0.7928,-0.0428,78.3,64.1,0.7547,75.0,80.0,26.6,26.57,safe_haven_failed: gate_edge_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Ayo Dosunmu|REB|2.5|OVER
Julian Champagnie,,,REB,3.5,OVER,True,,dk,-326,-326,-340,,-345,-137,,,prizepicks,0.8,0.7653,0.0347,72.1,65.0,0.4223,80.0,90.0,37.4,37.35,safe_haven_failed: gate_vision_score_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Julian Champagnie|REB|3.5|OVER
Dean Wade,,,REB,2.5,OVER,True,,dk,-324,-324,,,,-137,,,prizepicks,0.85,0.7642,0.0858,76.4,65.0,0.5236,85.0,90.0,38.1,38.15,safe_haven_failed: gate_vision_score_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Dean Wade|REB|2.5|OVER
Ayo Dosunmu,,,AST,2.5,OVER,True,,dk,-320,-320,,-400,-323,-137,,,prizepicks,0.55,0.781,-0.231,77.5,54.4,0.8151,55.0,60.0,20.3,20.29,safe_haven_failed: gate_edge_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Ayo Dosunmu|AST|2.5|OVER
Duncan Robinson,,,3PM,1.5,OVER,True,,dk,-319,-319,-340,,,-137,,,prizepicks,0.8,0.7613,0.0387,76.7,65.0,0.4861,80.0,80.0,34.8,34.83,safe_haven_failed: gate_vision_score_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Duncan Robinson|3PM|1.5|OVER
Duncan Robinson,,,PTS,7.5,OVER,True,,dk,-317,-317,,,,-137,,,prizepicks,0.7591,0.7602,-0.0011,76.0,64.9,0.3864,90.0,90.0,32.0,31.96,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Duncan Robinson|PTS|7.5|OVER
Donovan Mitchell,,,player_points_assists_alternate,24.5,OVER,True,,dk,-314,-314,,,,-137,,,prizepicks,0.822,0.7585,0.0635,75.8,65.0,0.3082,65.0,60.0,35.3,35.28,safe_haven_failed: gate_hit_rate_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Donovan Mitchell|player_points_assists_alternate|24.5|OVER
De'Aaron Fox,,,STL,0.5,OVER,True,,dk,-310,-310,-350,,-333,-137,,,prizepicks,0.8,0.7561,0.0439,76.8,65.0,0.7284,80.0,70.0,38.5,0.0,safe_haven_failed: gate_direction_fail,nba|219920e3a715ceb3dc69f3638f7571d5|De'Aaron Fox|STL|0.5|OVER
Julian Champagnie,,,PTS,5.5,OVER,True,,dk,-304,-304,-320,,,-137,,,prizepicks,0.8034,0.7525,0.0509,71.2,65.0,0.4424,90.0,90.0,39.2,39.24,safe_haven_failed: gate_vision_score_fail,nba|219920e3a715ceb3dc69f3638f7571d5|Julian Champagnie|PTS|5.5|OVER
Cade Cunningham,,,player_points_rebounds_alternate,29.5,OVER,True,,dk,-304,-304,,,,-137,,,prizepicks,0.5487,0.7525,-0.2038,75.2,54.8,0.3952,55.0,70.0,24.9,24.95,safe_haven_failed: gate_edge_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Cade Cunningham|player_points_rebounds_alternate|29.5|OVER
Duncan Robinson,,,player_points_assists_alternate,9.5,OVER,True,,dk,-303,-303,,,,-137,,,prizepicks,0.7998,0.7519,0.0479,75.2,65.0,0.3289,90.0,90.0,36.2,36.19,safe_haven_failed: gate_market_structure_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Duncan Robinson|player_points_assists_alternate|9.5|OVER
Donovan Mitchell,,,player_points_rebounds_alternate,24.5,OVER,True,,dk,-300,-300,,,,-137,,,prizepicks,0.822,0.75,0.072,75.0,65.0,0.3007,80.0,80.0,37.4,37.36,safe_haven_failed: gate_hit_rate_fail,nba|0d7933fbc3dd3e384f9b709cff4e882c|Donovan Mitchell|player_points_rebounds_alternate|24.5|OVER
