player_id,player_name,rows,distinct_events,distinct_books,distinct_stats,distinct_lines
JOSE_RAMIREZ_1_MLB,Jose Ramirez,4,1,2,1,2
SHOHEI_OHTANI_1_MLB,Shohei Ohtani,2,1,1,1,1
