family,side,band,month,n,gr,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
pitcher_strikeouts,OVER,"[-999,-800]",2025-06,85,83,89.16,-0.51,-8.03,7.0,-0.427,0.704,27
pitcher_strikeouts,OVER,"[-799,-600]",2026-05,562,498,85.74,-1.6,-5.13,1.93,-7.975,0.5,14
pitcher_strikeouts,OVER,"[-799,-600]",2025-06,124,123,86.18,-1.17,-8.19,5.86,-1.434,0.536,28
pitcher_strikeouts,OVER,"[-599,-500]",2026-05,439,432,79.63,-5.41,-9.92,-0.89,-23.358,0.417,12
pitcher_strikeouts,OVER,"[-599,-500]",2025-06,104,100,89.0,5.32,-1.98,12.61,5.319,0.786,28
pitcher_strikeouts,OVER,"[-499,-400]",2026-05,536,495,82.22,1.33,-2.83,5.49,6.581,0.462,13
pitcher_strikeouts,OVER,"[-499,-400]",2025-06,118,118,73.73,-9.32,-19.13,0.49,-10.995,0.214,28
pitcher_strikeouts,OVER,"[-399,-300]",2026-05,782,705,76.6,-0.47,-4.54,3.59,-3.335,0.714,14
pitcher_strikeouts,OVER,"[-399,-300]",2025-06,167,165,76.97,-0.34,-8.69,8.0,-0.569,0.429,28
pitcher_strikeouts,UNDER,"[-599,-500]",2026-05,7,7,100.0,20.0,20.0,20.0,1.4,1.0,1
pitcher_strikeouts,UNDER,"[-599,-500]",2025-06,9,9,77.78,-6.67,-41.24,27.9,-0.6,0.75,8
pitcher_strikeouts,UNDER,"[-499,-400]",2026-05,82,82,82.93,1.68,-8.37,11.73,1.377,0.667,6
pitcher_strikeouts,UNDER,"[-499,-400]",2025-06,64,64,73.44,-9.4,-22.86,4.05,-6.019,0.591,22
pitcher_strikeouts,UNDER,"[-399,-300]",2026-05,111,104,86.54,11.42,2.92,19.92,11.878,0.75,8
pitcher_strikeouts,UNDER,"[-399,-300]",2025-06,64,63,73.02,-6.14,-20.35,8.07,-3.866,0.52,25
runs,UNDER,"[-inf,-5000]",2026-05,7,7,100.0,2.0,2.0,2.0,0.14,1.0,1
runs,UNDER,"[-inf,-5000]",2025-06,2,2,100.0,2.0,2.0,2.0,0.04,1.0,2
runs,UNDER,"[-4999,-3000]",2026-05,410,369,96.21,-0.91,-2.93,1.1,-3.375,0.5,2
runs,UNDER,"[-2999,-2000]",2026-05,47,34,100.0,5.0,5.0,5.0,1.7,1.0,2
runs,UNDER,"[-2999,-2000]",2025-06,1,0,,,,,0,,0
runs,UNDER,"[-1999,-1500]",2026-05,103,89,84.27,-11.05,-19.08,-3.02,-9.833,0.5,2
runs,UNDER,"[-1499,-1000]",2026-05,143,136,84.56,-8.74,-15.32,-2.16,-11.881,0.5,2
runs,UNDER,"[-1499,-1000]",2025-06,1,1,100.0,8.33,8.33,8.33,0.083,1.0,1
runs,UNDER,"[-999,-800]",2026-05,7,7,100.0,11.11,11.11,11.11,0.778,1.0,1
runs,UNDER,"[-499,-400]",2026-05,28,14,100.0,24.72,24.58,24.87,3.461,1.0,1
runs,UNDER,"[-499,-400]",2025-06,1,0,,,,,0,,0
runs,UNDER,"[-399,-300]",2026-05,342,244,75.82,-0.78,-7.82,6.27,-1.893,0.636,11
runs,UNDER,"[-399,-300]",2025-06,26,0,,,,,0,,0
strikeouts,OVER,"[-1499,-1000]",2026-05,6,0,,,,,0,,0
strikeouts,OVER,"[-999,-800]",2026-05,26,0,,,,,0,,0
strikeouts,OVER,"[-799,-600]",2026-05,95,0,,,,,0,,0
strikeouts,OVER,"[-599,-500]",2026-05,145,0,,,,,0,,0
strikeouts,OVER,"[-499,-400]",2026-05,612,0,,,,,0,,0
strikeouts,OVER,"[-399,-300]",2026-05,1182,0,,,,,0,,0
total_bases,OVER,"[-499,-400]",2026-05,41,41,80.49,-0.51,-15.69,14.67,-0.209,0.667,3
total_bases,OVER,"[-399,-300]",2026-05,361,340,66.47,-12.78,-19.38,-6.18,-43.454,0.25,12
total_bases,UNDER,"[-599,-500]",2026-05,14,14,100.0,19.09,18.6,19.59,2.673,1.0,2
total_bases,UNDER,"[-499,-400]",2026-05,371,295,83.05,3.09,-2.24,8.41,9.106,0.75,12
total_bases,UNDER,"[-499,-400]",2025-06,1,1,100.0,25.0,25.0,25.0,0.25,1.0,1
total_bases,UNDER,"[-399,-300]",2026-05,2775,2308,70.75,-7.26,-9.69,-4.82,-167.515,0.286,14
total_bases,UNDER,"[-399,-300]",2025-06,2,2,100.0,32.05,29.54,34.56,0.641,1.0,1
