band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥55,62.17,10.0,,0.5,55.0,277,230,143,87,62.17,-1.11,-11.11,8.9,-2.546,0.538,13
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥60,63.89,10.0,,0.5,60.0,134,108,69,39,63.89,-0.92,-15.05,13.2,-0.998,0.462,13
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥0.5/TP≥65,66.67,10.0,,0.5,65.0,48,39,26,13,66.67,3.06,-20.12,26.25,1.194,0.545,11
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥-,63.46,10.0,,1.0,,249,208,132,76,63.46,0.95,-9.5,11.4,1.973,0.538,13
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥50,63.46,10.0,,1.0,50.0,249,208,132,76,63.46,0.95,-9.5,11.4,1.973,0.538,13
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥55,63.46,10.0,,1.0,55.0,249,208,132,76,63.46,0.95,-9.5,11.4,1.973,0.538,13
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥60,63.54,10.0,,1.0,60.0,119,96,61,35,63.54,-1.63,-16.62,13.36,-1.563,0.385,13
"[-199,-150]",HR≥65/EDG≥10.0/CV≤-/μ≥1.0/TP≥65,65.71,10.0,,1.0,65.0,42,35,23,12,65.71,1.48,-23.17,26.12,0.517,0.6,10
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥-,62.66,,,,,273,233,146,87,62.66,-0.79,-10.66,9.08,-1.837,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥50,62.66,,,,50.0,273,233,146,87,62.66,-0.79,-10.66,9.08,-1.837,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥55,62.77,,,,55.0,271,231,145,86,62.77,-0.59,-10.5,9.32,-1.363,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥60,65.29,,,,60.0,142,121,79,42,65.29,1.01,-12.17,14.19,1.221,0.5,12
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥-/TP≥65,64.71,,,,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥-,62.66,,,0.0,,273,233,146,87,62.66,-0.79,-10.66,9.08,-1.837,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥50,62.66,,,0.0,50.0,273,233,146,87,62.66,-0.79,-10.66,9.08,-1.837,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥55,62.77,,,0.0,55.0,271,231,145,86,62.77,-0.59,-10.5,9.32,-1.363,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥60,65.29,,,0.0,60.0,142,121,79,42,65.29,1.01,-12.17,14.19,1.221,0.5,12
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.0/TP≥65,64.71,,,0.0,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥-,62.96,,,0.5,,255,216,136,80,62.96,-0.32,-10.55,9.91,-0.691,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥50,62.96,,,0.5,50.0,255,216,136,80,62.96,-0.32,-10.55,9.91,-0.691,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥55,62.96,,,0.5,55.0,255,216,136,80,62.96,-0.32,-10.55,9.91,-0.691,0.692,13
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥60,65.52,,,0.5,60.0,136,116,76,40,65.52,1.39,-12.06,14.84,1.613,0.5,12
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥0.5/TP≥65,64.71,,,0.5,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥-,63.51,,,1.0,,176,148,94,54,63.51,0.69,-11.66,13.05,1.024,0.5,12
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥50,63.51,,,1.0,50.0,176,148,94,54,63.51,0.69,-11.66,13.05,1.024,0.5,12
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥55,63.51,,,1.0,55.0,176,148,94,54,63.51,0.69,-11.66,13.05,1.024,0.5,12
"[-199,-150]",HR≥70/EDG≥-/CV≤-/μ≥1.0/TP≥60,64.1,,,1.0,60.0,94,78,50,28,64.1,-0.88,-17.45,15.7,-0.685,0.417,12
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥-/TP≥-,63.44,-5.0,,,,267,227,144,83,63.44,0.44,-9.52,10.39,0.992,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥-/TP≥50,63.44,-5.0,,,50.0,267,227,144,83,63.44,0.44,-9.52,10.39,0.992,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥-/TP≥55,63.44,-5.0,,,55.0,267,227,144,83,63.44,0.44,-9.52,10.39,0.992,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥-/TP≥60,65.83,-5.0,,,60.0,141,120,79,41,65.83,1.85,-11.34,15.04,2.221,0.5,12
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥-/TP≥65,64.71,-5.0,,,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.0/TP≥-,63.44,-5.0,,0.0,,267,227,144,83,63.44,0.44,-9.52,10.39,0.992,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.0/TP≥50,63.44,-5.0,,0.0,50.0,267,227,144,83,63.44,0.44,-9.52,10.39,0.992,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.0/TP≥55,63.44,-5.0,,0.0,55.0,267,227,144,83,63.44,0.44,-9.52,10.39,0.992,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.0/TP≥60,65.83,-5.0,,0.0,60.0,141,120,79,41,65.83,1.85,-11.34,15.04,2.221,0.5,12
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.0/TP≥65,64.71,-5.0,,0.0,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.5/TP≥-,63.26,-5.0,,0.5,,254,215,136,79,63.26,0.14,-10.1,10.38,0.309,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.5/TP≥50,63.26,-5.0,,0.5,50.0,254,215,136,79,63.26,0.14,-10.1,10.38,0.309,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.5/TP≥55,63.26,-5.0,,0.5,55.0,254,215,136,79,63.26,0.14,-10.1,10.38,0.309,0.692,13
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.5/TP≥60,65.52,-5.0,,0.5,60.0,136,116,76,40,65.52,1.39,-12.06,14.84,1.613,0.5,12
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥0.5/TP≥65,64.71,-5.0,,0.5,65.0,43,34,22,12,64.71,-0.58,-25.64,24.48,-0.196,0.5,10
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥1.0/TP≥-,63.51,-5.0,,1.0,,176,148,94,54,63.51,0.69,-11.66,13.05,1.024,0.5,12
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥1.0/TP≥50,63.51,-5.0,,1.0,50.0,176,148,94,54,63.51,0.69,-11.66,13.05,1.024,0.5,12
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥1.0/TP≥55,63.51,-5.0,,1.0,55.0,176,148,94,54,63.51,0.69,-11.66,13.05,1.024,0.5,12
"[-199,-150]",HR≥70/EDG≥-5.0/CV≤-/μ≥1.0/TP≥60,64.1,-5.0,,1.0,60.0,94,78,50,28,64.1,-0.88,-17.45,15.7,-0.685,0.417,12
