combo,hr_min,edg_min,tp_min,cv_max,side,n_total,n_graded,wins,losses,HR_pct,HR_ci_lo,HR_ci_hi,ROI_pct,ROI_ci_lo,ROI_ci_hi,P_and_L,consistency,graded_days
HR≥-/EDG≥10.0/TP≥40.0/CV≤0.4/ANY,,10.0,40.0,0.4,ANY,75,66,36,30,54.55,42.61,65.98,2.26,-21.15,25.67,1.491,0.545,11
HR≥50.0/EDG≥2.5/TP≥55.0/CV≤-/OVER,50.0,2.5,55.0,,OVER,56,51,34,17,66.67,52.97,78.03,2.26,-17.93,22.45,1.154,0.583,12
HR≥-/EDG≥-/TP≥-/CV≤0.35/ANY,,,,0.35,ANY,139,126,72,54,57.14,48.42,65.45,2.25,-13.83,18.33,2.835,0.5,12
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤0.6/OVER,50.0,2.5,50.0,0.6,OVER,69,62,40,22,64.52,52.08,75.26,2.25,-17.03,21.53,1.394,0.538,13
HR≥-/EDG≥2.5/TP≥40.0/CV≤0.7/ANY,,2.5,40.0,0.7,ANY,287,261,146,115,55.94,49.87,61.83,2.2,-9.14,13.54,5.747,0.462,13
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.7/OVER,,5.0,55.0,0.7,OVER,67,60,39,21,65.0,52.36,75.83,2.2,-17.06,21.46,1.32,0.5,12
HR≥-/EDG≥-2.5/TP≥60.0/CV≤-/ANY,,-2.5,60.0,,ANY,86,80,56,24,70.0,59.23,78.94,2.17,-12.65,16.99,1.738,0.5,12
HR≥55.0/EDG≥0.0/TP≥-/CV≤0.6/ANY,55.0,0.0,,0.6,ANY,60,55,34,21,61.82,48.61,73.48,2.16,-20.03,24.34,1.187,0.583,12
HR≥-/EDG≥-2.5/TP≥60.0/CV≤-/OVER,,-2.5,60.0,,OVER,75,69,48,21,69.57,57.92,79.15,2.15,-13.99,18.28,1.48,0.417,12
HR≥50.0/EDG≥5.0/TP≥-/CV≤0.6/OVER,50.0,5.0,,0.6,OVER,67,61,37,24,60.66,48.12,71.93,2.13,-19.26,23.51,1.296,0.583,12
HR≥50.0/EDG≥5.0/TP≥-/CV≤0.7/OVER,50.0,5.0,,0.7,OVER,67,61,37,24,60.66,48.12,71.93,2.13,-19.26,23.51,1.296,0.583,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤0.6/OVER,50.0,5.0,40.0,0.6,OVER,67,61,37,24,60.66,48.12,71.93,2.13,-19.26,23.51,1.296,0.583,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤0.7/OVER,50.0,5.0,40.0,0.7,OVER,67,61,37,24,60.66,48.12,71.93,2.13,-19.26,23.51,1.296,0.583,12
HR≥-/EDG≥-5.0/TP≥60.0/CV≤-/ANY,,-5.0,60.0,,ANY,98,91,64,27,70.33,60.28,78.74,2.1,-11.67,15.87,1.912,0.583,12
HR≥-/EDG≥-5.0/TP≥60.0/CV≤0.6/OVER,,-5.0,60.0,0.6,OVER,73,67,47,20,70.15,58.34,79.77,2.09,-14.06,18.23,1.399,0.583,12
HR≥-/EDG≥-2.5/TP≥-/CV≤0.6/ANY,,-2.5,,0.6,ANY,318,291,165,126,56.7,50.96,62.27,2.09,-8.51,12.68,6.074,0.615,13
HR≥-/EDG≥-5.0/TP≥60.0/CV≤-/OVER,,-5.0,60.0,,OVER,87,80,56,24,70.0,59.23,78.94,2.07,-12.74,16.87,1.654,0.583,12
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.7/ANY,,0.0,50.0,0.7,ANY,195,178,110,68,61.8,54.48,68.62,2.04,-9.94,14.02,3.63,0.462,13
HR≥-/EDG≥0.0/TP≥-/CV≤-/ANY,,0.0,,,ANY,358,327,183,144,55.96,50.54,61.24,2.03,-8.08,12.14,6.641,0.462,13
HR≥-/EDG≥7.5/TP≥-/CV≤0.7/ANY,,7.5,,0.7,ANY,225,205,113,92,55.12,48.28,61.77,2.03,-10.96,15.02,4.163,0.462,13
HR≥-/EDG≥7.5/TP≥50.0/CV≤0.7/OVER,,7.5,50.0,0.7,OVER,86,77,48,29,62.34,51.17,72.33,2.02,-16.01,20.04,1.552,0.538,13
HR≥-/EDG≥-5.0/TP≥55.0/CV≤-/UNDER,,-5.0,55.0,,UNDER,60,54,34,20,62.96,49.63,74.58,2.0,-19.25,23.25,1.082,0.5,12
HR≥-/EDG≥-2.5/TP≥55.0/CV≤0.7/ANY,,-2.5,55.0,0.7,ANY,160,147,96,51,65.31,57.31,72.52,1.98,-10.2,14.16,2.908,0.583,12
HR≥-/EDG≥0.0/TP≥-/CV≤0.7/ANY,,0.0,,0.7,ANY,321,293,164,129,55.97,50.25,61.54,1.98,-8.7,12.66,5.793,0.462,13
HR≥-/EDG≥5.0/TP≥40.0/CV≤0.6/ANY,,5.0,40.0,0.6,ANY,223,203,112,91,55.17,48.3,61.85,1.95,-11.06,14.96,3.964,0.462,13
HR≥50.0/EDG≥-/TP≥-/CV≤0.35/ANY,50.0,,,0.35,ANY,70,63,37,26,58.73,46.42,70.04,1.94,-20.17,24.06,1.224,0.636,11
HR≥-/EDG≥-2.5/TP≥55.0/CV≤0.6/OVER,,-2.5,55.0,0.6,OVER,108,98,65,33,66.33,56.51,74.91,1.89,-12.69,16.47,1.855,0.5,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤-/OVER,,2.5,50.0,,OVER,125,112,70,42,62.5,53.26,70.91,1.89,-12.97,16.75,2.116,0.538,13
HR≥-/EDG≥-2.5/TP≥60.0/CV≤0.7/ANY,,-2.5,60.0,0.7,ANY,78,73,51,22,69.86,58.56,79.18,1.87,-13.66,17.39,1.362,0.5,12
HR≥50.0/EDG≥-/TP≥60.0/CV≤0.7/OVER,50.0,,60.0,0.7,OVER,78,72,51,21,70.83,59.49,80.06,1.84,-13.42,17.11,1.328,0.583,12
HR≥-/EDG≥-2.5/TP≥40.0/CV≤0.7/ANY,,-2.5,40.0,0.7,ANY,358,328,186,142,56.71,51.3,61.96,1.83,-8.1,11.77,6.019,0.538,13
HR≥50.0/EDG≥7.5/TP≥-/CV≤0.6/OVER,50.0,7.5,,0.6,OVER,62,56,34,22,60.71,47.63,72.42,1.83,-20.44,24.11,1.027,0.545,11
HR≥50.0/EDG≥7.5/TP≥-/CV≤0.7/OVER,50.0,7.5,,0.7,OVER,62,56,34,22,60.71,47.63,72.42,1.83,-20.44,24.11,1.027,0.545,11
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤0.6/OVER,50.0,7.5,40.0,0.6,OVER,62,56,34,22,60.71,47.63,72.42,1.83,-20.44,24.11,1.027,0.545,11
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤0.7/OVER,50.0,7.5,40.0,0.7,OVER,62,56,34,22,60.71,47.63,72.42,1.83,-20.44,24.11,1.027,0.545,11
HR≥-/EDG≥2.5/TP≥-/CV≤-/ANY,,2.5,,,ANY,320,291,162,129,55.67,49.93,61.27,1.82,-8.94,12.58,5.303,0.462,13
HR≥-/EDG≥2.5/TP≥-/CV≤0.5/ANY,,2.5,,0.5,ANY,203,185,102,83,55.14,47.94,62.13,1.82,-11.83,15.48,3.374,0.538,13
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.7/OVER,,2.5,50.0,0.7,OVER,118,106,66,40,62.26,52.76,70.91,1.82,-13.53,17.17,1.934,0.538,13
HR≥-/EDG≥-2.5/TP≥55.0/CV≤0.5/ANY,,-2.5,55.0,0.5,ANY,112,102,66,36,64.71,55.05,73.29,1.81,-12.98,16.6,1.844,0.583,12
HR≥50.0/EDG≥-/TP≥50.0/CV≤0.4/OVER,50.0,,50.0,0.4,OVER,65,59,39,20,66.1,53.37,76.86,1.81,-17.22,20.84,1.068,0.615,13
HR≥-/EDG≥0.0/TP≥-/CV≤0.5/ANY,,0.0,,0.5,ANY,222,202,112,90,55.45,48.55,62.13,1.79,-11.19,14.78,3.62,0.538,13
HR≥-/EDG≥-/TP≥55.0/CV≤0.6/ANY,,,55.0,0.6,ANY,246,222,145,77,65.32,58.84,71.27,1.77,-8.11,11.64,3.918,0.583,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤0.6/ANY,50.0,5.0,40.0,0.6,ANY,75,69,41,28,59.42,47.64,70.21,1.77,-18.78,22.32,1.22,0.667,12
HR≥55.0/EDG≥-/TP≥-/CV≤0.4/ANY,55.0,,,0.4,ANY,72,67,41,26,61.19,49.22,71.95,1.74,-18.67,22.14,1.164,0.667,12
HR≥50.0/EDG≥5.0/TP≥-/CV≤-/ANY,50.0,5.0,,,ANY,80,73,43,30,58.9,47.45,69.47,1.73,-18.51,21.96,1.262,0.667,12
HR≥55.0/EDG≥-2.5/TP≥40.0/CV≤0.7/ANY,55.0,-2.5,40.0,0.7,ANY,72,67,43,24,64.18,52.22,74.6,1.73,-17.14,20.61,1.161,0.5,12
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.45/OVER,,0.0,50.0,0.45,OVER,78,68,43,25,63.24,51.36,73.7,1.72,-17.07,20.51,1.168,0.538,13
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.45/OVER,,5.0,50.0,0.45,OVER,59,51,32,19,62.75,49.02,74.68,1.72,-20.24,23.68,0.878,0.538,13
HR≥50.0/EDG≥-/TP≥50.0/CV≤0.45/ANY,50.0,,50.0,0.45,ANY,96,88,58,30,65.91,55.53,74.96,1.72,-13.86,17.3,1.513,0.615,13
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.7/ANY,,2.5,50.0,0.7,ANY,174,158,97,61,61.39,53.62,68.63,1.62,-11.15,14.39,2.563,0.538,13
HR≥-/EDG≥-/TP≥65.0/CV≤0.7/ANY,,,65.0,0.7,ANY,86,80,57,23,71.25,60.54,80.01,1.61,-12.67,15.9,1.289,0.5,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤-/ANY,,2.5,50.0,,ANY,192,174,107,67,61.49,54.09,68.4,1.61,-10.52,13.75,2.809,0.462,13
HR≥-/EDG≥-2.5/TP≥-/CV≤0.55/ANY,,-2.5,,0.55,ANY,279,255,143,112,56.08,49.94,62.03,1.6,-9.79,13.0,4.085,0.615,13
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.55/OVER,,5.0,55.0,0.55,OVER,58,51,33,18,64.71,50.99,76.37,1.58,-19.35,22.52,0.806,0.5,12
HR≥50.0/EDG≥-5.0/TP≥65.0/CV≤-/ANY,50.0,-5.0,65.0,,ANY,60,55,39,16,70.91,57.86,81.23,1.58,-15.83,19.0,0.871,0.417,12
HR≥50.0/EDG≥-5.0/TP≥65.0/CV≤-/OVER,50.0,-5.0,65.0,,OVER,60,55,39,16,70.91,57.86,81.23,1.58,-15.83,19.0,0.871,0.417,12
HR≥-/EDG≥2.5/TP≥-/CV≤0.6/ANY,,2.5,,0.6,ANY,255,232,129,103,55.6,49.17,61.85,1.55,-10.49,13.6,3.599,0.385,13
HR≥60.0/EDG≥-/TP≥-/CV≤0.4/ANY,60.0,,,0.4,ANY,59,54,33,21,61.11,47.79,72.96,1.52,-21.26,24.3,0.823,0.727,11
HR≥-/EDG≥-5.0/TP≥60.0/CV≤0.6/ANY,,-5.0,60.0,0.6,ANY,79,73,51,22,69.86,58.56,79.18,1.5,-13.97,16.98,1.098,0.583,12
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤0.5/ANY,50.0,2.5,50.0,0.5,ANY,62,55,35,20,63.64,50.42,75.07,1.5,-19.22,22.23,0.827,0.538,13
HR≥-/EDG≥7.5/TP≥50.0/CV≤-/OVER,,7.5,50.0,,OVER,89,79,49,30,62.03,51.0,71.93,1.45,-16.36,19.25,1.143,0.538,13
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤0.7/ANY,50.0,7.5,40.0,0.7,ANY,68,62,37,25,59.68,47.25,70.98,1.45,-20.09,22.99,0.9,0.636,11
HR≥-/EDG≥2.5/TP≥55.0/CV≤-/OVER,,2.5,55.0,,OVER,89,80,52,28,65.0,54.08,74.55,1.44,-15.09,17.98,1.155,0.583,12
HR≥-/EDG≥0.0/TP≥40.0/CV≤0.45/ANY,,0.0,40.0,0.45,ANY,176,160,89,71,55.62,47.88,63.1,1.43,-13.09,15.94,2.283,0.538,13
HR≥50.0/EDG≥5.0/TP≥-/CV≤-/OVER,50.0,5.0,,,OVER,70,63,38,25,60.32,47.98,71.47,1.41,-19.61,22.43,0.888,0.583,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤-/OVER,50.0,5.0,40.0,,OVER,70,63,38,25,60.32,47.98,71.47,1.41,-19.61,22.43,0.888,0.583,12
HR≥-/EDG≥-5.0/TP≥60.0/CV≤0.55/ANY,,-5.0,60.0,0.55,ANY,68,62,43,19,69.35,57.03,79.42,1.39,-15.6,18.37,0.859,0.417,12
HR≥-/EDG≥-2.5/TP≥60.0/CV≤0.7/OVER,,-2.5,60.0,0.7,OVER,70,65,45,20,69.23,57.2,79.11,1.37,-15.26,18.0,0.89,0.5,12
HR≥-/EDG≥2.5/TP≥40.0/CV≤-/ANY,,2.5,40.0,,ANY,319,290,161,129,55.52,49.76,61.13,1.33,-9.43,12.08,3.853,0.462,13
HR≥-/EDG≥7.5/TP≥40.0/CV≤0.7/ANY,,7.5,40.0,0.7,ANY,224,204,112,92,54.9,48.05,61.58,1.33,-11.65,14.31,2.713,0.462,13
HR≥-/EDG≥0.0/TP≥-/CV≤0.6/ANY,,0.0,,0.6,ANY,282,257,143,114,55.64,49.53,61.59,1.26,-10.14,12.66,3.237,0.692,13
HR≥-/EDG≥2.5/TP≥-/CV≤0.45/ANY,,2.5,,0.45,ANY,163,149,82,67,55.03,47.02,62.79,1.24,-13.97,16.45,1.847,0.538,13
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.7/UNDER,,2.5,50.0,0.7,UNDER,56,52,31,21,59.62,46.07,71.84,1.21,-21.97,24.39,0.629,0.583,12
HR≥-/EDG≥7.5/TP≥-/CV≤0.45/ANY,,7.5,,0.45,ANY,126,114,62,52,54.39,45.25,63.24,1.19,-16.43,18.8,1.352,0.5,12
HR≥-/EDG≥0.0/TP≥40.0/CV≤-/ANY,,0.0,40.0,,ANY,356,325,181,144,55.69,50.26,61.0,1.18,-8.92,11.29,3.841,0.462,13
HR≥-/EDG≥5.0/TP≥-/CV≤-/ANY,,5.0,,,ANY,277,251,137,114,54.58,48.4,60.63,1.17,-10.58,12.91,2.929,0.462,13
HR≥-/EDG≥-/TP≥55.0/CV≤0.7/ANY,,,55.0,0.7,ANY,279,254,165,89,64.96,58.91,70.57,1.16,-8.09,10.41,2.954,0.5,12
HR≥-/EDG≥-2.5/TP≥55.0/CV≤0.6/ANY,,-2.5,55.0,0.6,ANY,143,131,85,46,64.89,56.39,72.53,1.16,-11.75,14.08,1.522,0.583,12
HR≥-/EDG≥-2.5/TP≥40.0/CV≤0.6/ANY,,-2.5,40.0,0.6,ANY,316,289,163,126,56.4,50.64,62.0,1.13,-9.45,11.72,3.274,0.615,13
HR≥-/EDG≥2.5/TP≥50.0/CV≤-/UNDER,,2.5,50.0,,UNDER,67,62,37,25,59.68,47.25,70.98,1.12,-20.01,22.25,0.692,0.583,12
HR≥-/EDG≥-/TP≥40.0/CV≤0.35/ANY,,,40.0,0.35,ANY,138,125,71,54,56.8,48.04,65.15,1.11,-14.95,17.16,1.385,0.417,12
HR≥-/EDG≥10.0/TP≥-/CV≤0.45/ANY,,10.0,,0.45,ANY,111,99,53,46,53.54,43.76,63.04,1.09,-18.13,20.31,1.08,0.5,12
HR≥-/EDG≥-/TP≥50.0/CV≤-/ANY,,,50.0,,ANY,452,413,255,158,61.74,56.97,66.3,1.08,-6.72,8.88,4.452,0.462,13
HR≥-/EDG≥0.0/TP≥40.0/CV≤0.5/ANY,,0.0,40.0,0.5,ANY,221,201,111,90,55.22,48.32,61.94,1.08,-11.89,14.05,2.17,0.538,13
HR≥50.0/EDG≥-/TP≥40.0/CV≤0.45/ANY,50.0,,40.0,0.45,ANY,144,131,78,53,59.54,50.98,67.56,1.08,-13.78,15.95,1.421,0.538,13
HR≥50.0/EDG≥5.0/TP≥-/CV≤0.55/OVER,50.0,5.0,,0.55,OVER,61,55,33,22,60.0,46.81,71.88,1.08,-21.57,23.74,0.595,0.583,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤0.55/OVER,50.0,5.0,40.0,0.55,OVER,61,55,33,22,60.0,46.81,71.88,1.08,-21.57,23.74,0.595,0.583,12
HR≥50.0/EDG≥10.0/TP≥-/CV≤-/ANY,50.0,10.0,,,ANY,62,55,32,23,58.18,45.03,70.26,1.07,-22.56,24.7,0.589,0.636,11
HR≥50.0/EDG≥10.0/TP≥-/CV≤0.7/ANY,50.0,10.0,,0.7,ANY,61,55,32,23,58.18,45.03,70.26,1.07,-22.56,24.7,0.589,0.636,11
HR≥-/EDG≥-/TP≥65.0/CV≤-/ANY,,,65.0,,ANY,97,89,63,26,70.79,60.64,79.22,1.06,-12.55,14.68,0.944,0.5,12
HR≥-/EDG≥-/TP≥50.0/CV≤0.7/ANY,,,50.0,0.7,ANY,405,372,230,142,61.83,56.79,66.62,1.05,-7.15,9.26,3.917,0.462,13
HR≥-/EDG≥2.5/TP≥40.0/CV≤0.5/ANY,,2.5,40.0,0.5,ANY,202,184,101,83,54.89,47.67,61.91,1.05,-12.6,14.69,1.924,0.538,13
HR≥-/EDG≥-2.5/TP≥40.0/CV≤0.55/ANY,,-2.5,40.0,0.55,ANY,278,254,142,112,55.91,49.76,61.88,1.04,-10.35,12.42,2.635,0.538,13
HR≥-/EDG≥-2.5/TP≥50.0/CV≤0.4/ANY,,-2.5,50.0,0.4,ANY,85,77,48,29,62.34,51.17,72.33,1.04,-16.83,18.92,0.804,0.615,13
HR≥-/EDG≥0.0/TP≥50.0/CV≤0.6/OVER,,0.0,50.0,0.6,OVER,124,111,69,42,62.16,52.88,70.63,1.04,-13.89,15.96,1.151,0.538,13
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.7/OVER,,5.0,50.0,0.7,OVER,98,88,54,34,61.36,50.92,70.86,1.04,-15.99,18.07,0.913,0.462,13
HR≥-/EDG≥0.0/TP≥40.0/CV≤0.7/ANY,,0.0,40.0,0.7,ANY,319,291,162,129,55.67,49.93,61.27,1.03,-9.64,11.7,2.993,0.462,13
HR≥55.0/EDG≥0.0/TP≥-/CV≤-/ANY,55.0,0.0,,,ANY,63,57,35,22,61.4,48.43,72.94,1.03,-20.7,22.76,0.587,0.583,12
HR≥55.0/EDG≥-2.5/TP≥40.0/CV≤0.55/ANY,55.0,-2.5,40.0,0.55,ANY,61,56,35,21,62.5,49.41,73.99,1.01,-20.26,22.29,0.568,0.417,12
HR≥-/EDG≥7.5/TP≥-/CV≤0.6/ANY,,7.5,,0.6,ANY,198,181,99,82,54.7,47.42,61.78,1.0,-12.8,14.8,1.809,0.385,13
HR≥-/EDG≥2.5/TP≥40.0/CV≤0.6/ANY,,2.5,40.0,0.6,ANY,254,231,128,103,55.41,48.96,61.68,0.93,-11.1,12.97,2.149,0.385,13
HR≥-/EDG≥10.0/TP≥-/CV≤0.55/ANY,,10.0,,0.55,ANY,160,146,79,67,54.11,46.02,61.98,0.91,-14.64,16.46,1.33,0.385,13
HR≥-/EDG≥0.0/TP≥55.0/CV≤0.45/ANY,,0.0,55.0,0.45,ANY,80,72,46,26,63.89,52.35,74.02,0.85,-16.92,18.63,0.615,0.833,12
HR≥-/EDG≥-/TP≥55.0/CV≤-/ANY,,,55.0,,ANY,314,285,184,101,64.56,58.85,69.89,0.82,-7.96,9.6,2.341,0.583,12
HR≥-/EDG≥-2.5/TP≥50.0/CV≤0.5/ANY,,-2.5,50.0,0.5,ANY,151,138,85,53,61.59,53.27,69.29,0.75,-12.74,14.24,1.036,0.615,13
HR≥-/EDG≥2.5/TP≥-/CV≤0.55/ANY,,2.5,,0.55,ANY,226,206,113,93,54.85,48.03,61.5,0.74,-12.13,13.6,1.517,0.385,13
HR≥-/EDG≥7.5/TP≥55.0/CV≤0.6/OVER,,7.5,55.0,0.6,OVER,59,53,34,19,64.15,50.69,75.7,0.73,-19.87,21.33,0.386,0.5,12
HR≥55.0/EDG≥-/TP≥-/CV≤0.45/ANY,55.0,,,0.45,ANY,88,79,48,31,60.76,49.73,70.79,0.69,-18.02,19.4,0.545,0.583,12
HR≥-/EDG≥-/TP≥55.0/CV≤0.5/ANY,,,55.0,0.5,ANY,189,171,110,61,64.33,56.91,71.12,0.68,-10.7,12.06,1.163,0.5,12
HR≥-/EDG≥-/TP≥60.0/CV≤0.55/ANY,,,60.0,0.55,ANY,92,85,59,26,69.41,58.95,78.19,0.66,-13.69,15.02,0.565,0.417,12
HR≥-/EDG≥-/TP≥65.0/CV≤0.7/OVER,,,65.0,0.7,OVER,80,74,52,22,70.27,59.07,79.47,0.65,-14.42,15.72,0.479,0.5,12
HR≥50.0/EDG≥7.5/TP≥-/CV≤0.5/OVER,50.0,7.5,,0.5,OVER,56,50,30,20,60.0,46.18,72.39,0.65,-23.07,24.37,0.326,0.545,11
HR≥50.0/EDG≥7.5/TP≥-/CV≤0.55/OVER,50.0,7.5,,0.55,OVER,56,50,30,20,60.0,46.18,72.39,0.65,-23.07,24.37,0.326,0.545,11
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤0.5/OVER,50.0,7.5,40.0,0.5,OVER,56,50,30,20,60.0,46.18,72.39,0.65,-23.07,24.37,0.326,0.545,11
HR≥50.0/EDG≥7.5/TP≥40.0/CV≤0.55/OVER,50.0,7.5,40.0,0.55,OVER,56,50,30,20,60.0,46.18,72.39,0.65,-23.07,24.37,0.326,0.545,11
HR≥-/EDG≥7.5/TP≥40.0/CV≤0.4/ANY,,7.5,40.0,0.4,ANY,88,79,43,36,54.43,43.5,64.95,0.64,-20.43,21.72,0.507,0.636,11
HR≥50.0/EDG≥7.5/TP≥50.0/CV≤-/ANY,50.0,7.5,50.0,,ANY,58,51,32,19,62.75,49.02,74.68,0.64,-21.08,22.36,0.326,0.545,11
HR≥-/EDG≥7.5/TP≥-/CV≤0.5/ANY,,7.5,,0.5,ANY,161,146,79,67,54.11,46.02,61.98,0.63,-14.89,16.14,0.914,0.385,13
HR≥-/EDG≥-/TP≥55.0/CV≤0.55/ANY,,,55.0,0.55,ANY,214,192,124,68,64.58,57.59,71.0,0.6,-10.07,11.27,1.158,0.5,12
HR≥-/EDG≥5.0/TP≥40.0/CV≤-/ANY,,5.0,40.0,,ANY,276,250,136,114,54.4,48.21,60.46,0.59,-11.15,12.33,1.479,0.462,13
HR≥-/EDG≥-5.0/TP≥50.0/CV≤0.7/UNDER,,-5.0,50.0,0.7,UNDER,70,64,38,26,59.38,47.14,70.54,0.58,-20.2,21.35,0.368,0.583,12
HR≥-/EDG≥-5.0/TP≥55.0/CV≤0.55/ANY,,-5.0,55.0,0.55,ANY,136,121,78,43,64.46,55.61,72.43,0.56,-12.92,14.04,0.681,0.583,12
HR≥-/EDG≥5.0/TP≥50.0/CV≤-/OVER,,5.0,50.0,,OVER,104,93,57,36,61.29,51.13,70.55,0.52,-15.98,17.02,0.485,0.462,13
HR≥-/EDG≥10.0/TP≥-/CV≤0.6/ANY,,10.0,,0.6,ANY,179,163,88,75,53.99,46.33,61.46,0.52,-14.16,15.2,0.847,0.385,13
HR≥-/EDG≥10.0/TP≥-/CV≤0.7/ANY,,10.0,,0.7,ANY,202,183,99,84,54.1,46.87,61.16,0.52,-13.3,14.35,0.96,0.385,13
HR≥50.0/EDG≥-/TP≥-/CV≤0.4/ANY,50.0,,,0.4,ANY,116,107,62,45,57.94,48.47,66.86,0.51,-16.42,17.44,0.544,0.615,13
HR≥-/EDG≥10.0/TP≥-/CV≤0.5/ANY,,10.0,,0.5,ANY,145,131,70,61,53.44,44.92,61.76,0.49,-16.09,17.07,0.642,0.385,13
HR≥-/EDG≥-5.0/TP≥50.0/CV≤0.5/ANY,,-5.0,50.0,0.5,ANY,160,146,90,56,61.64,53.55,69.14,0.45,-12.62,13.52,0.655,0.538,13
HR≥-/EDG≥-/TP≥65.0/CV≤-/OVER,,,65.0,,OVER,88,80,56,24,70.0,59.23,78.94,0.44,-14.12,14.99,0.349,0.5,12
HR≥-/EDG≥-/TP≥65.0/CV≤0.6/ANY,,,65.0,0.6,ANY,80,74,52,22,70.27,59.07,79.47,0.44,-14.6,15.48,0.325,0.417,12
HR≥-/EDG≥2.5/TP≥50.0/CV≤0.5/OVER,,2.5,50.0,0.5,OVER,88,78,48,30,61.54,50.44,71.55,0.4,-17.53,18.34,0.315,0.615,13
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤0.5/OVER,50.0,2.5,50.0,0.5,OVER,59,52,33,19,63.46,49.87,75.2,0.39,-20.76,21.55,0.204,0.615,13
HR≥-/EDG≥7.5/TP≥-/CV≤0.55/ANY,,7.5,,0.55,ANY,177,162,88,74,54.32,46.64,61.8,0.37,-14.24,14.99,0.601,0.385,13
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤0.55/ANY,50.0,2.5,50.0,0.55,ANY,64,57,36,21,63.16,50.18,74.48,0.37,-19.97,20.71,0.212,0.538,13
HR≥55.0/EDG≥-2.5/TP≥40.0/CV≤0.6/ANY,55.0,-2.5,40.0,0.6,ANY,70,65,41,24,63.08,50.92,73.77,0.36,-19.0,19.72,0.235,0.5,12
HR≥-/EDG≥0.0/TP≥55.0/CV≤-/ANY,,0.0,55.0,,ANY,154,140,89,51,63.57,55.34,71.08,0.34,-12.4,13.09,0.478,0.5,12
HR≥50.0/EDG≥5.0/TP≥40.0/CV≤0.7/ANY,50.0,5.0,40.0,0.7,ANY,76,70,41,29,58.57,46.88,69.37,0.31,-20.14,20.77,0.22,0.667,12
HR≥-/EDG≥-5.0/TP≥60.0/CV≤0.5/ANY,,-5.0,60.0,0.5,ANY,60,54,37,17,68.52,55.26,79.32,0.3,-18.09,18.68,0.161,0.417,12
HR≥-/EDG≥5.0/TP≥55.0/CV≤0.6/OVER,,5.0,55.0,0.6,OVER,65,58,37,21,63.79,50.93,74.95,0.29,-19.44,20.03,0.17,0.5,12
HR≥-/EDG≥2.5/TP≥40.0/CV≤0.45/ANY,,2.5,40.0,0.45,ANY,162,148,81,67,54.73,46.69,62.53,0.27,-14.92,15.46,0.397,0.538,13
HR≥50.0/EDG≥10.0/TP≥40.0/CV≤0.6/ANY,50.0,10.0,40.0,0.6,ANY,59,53,31,22,58.49,45.09,70.74,0.26,-23.37,23.89,0.139,0.636,11
HR≥55.0/EDG≥0.0/TP≥40.0/CV≤0.7/ANY,55.0,0.0,40.0,0.7,ANY,60,55,34,21,61.82,48.61,73.48,0.25,-21.37,21.87,0.137,0.5,12
HR≥55.0/EDG≥-2.5/TP≥40.0/CV≤-/ANY,55.0,-2.5,40.0,,ANY,74,68,43,25,63.24,51.36,73.7,0.24,-18.59,19.06,0.161,0.5,12
HR≥-/EDG≥7.5/TP≥40.0/CV≤0.6/ANY,,7.5,40.0,0.6,ANY,197,180,98,82,54.44,47.15,61.55,0.2,-13.59,13.99,0.359,0.385,13
HR≥-/EDG≥0.0/TP≥-/CV≤0.55/ANY,,0.0,,0.55,ANY,250,228,125,103,54.82,48.34,61.15,0.19,-11.97,12.36,0.441,0.615,13
HR≥-/EDG≥0.0/TP≥40.0/CV≤0.6/ANY,,0.0,40.0,0.6,ANY,280,255,141,114,55.29,49.16,61.27,0.17,-11.22,11.56,0.437,0.692,13
HR≥-/EDG≥2.5/TP≥55.0/CV≤0.5/OVER,,2.5,55.0,0.5,OVER,65,58,37,21,63.79,50.93,74.95,0.15,-19.58,19.88,0.088,0.583,12
HR≥-/EDG≥-/TP≥65.0/CV≤0.55/ANY,,,65.0,0.55,ANY,69,63,44,19,69.84,57.64,79.76,0.14,-16.29,16.57,0.087,0.333,12
