combo,hr_min,edg_min,tp_min,cv_max,side,n_total,n_graded,wins,losses,HR_pct,HR_ci_lo,HR_ci_hi,ROI_pct,ROI_ci_lo,ROI_ci_hi,P_and_L,consistency,graded_days
HR≥-/EDG≥-5.0/TP≥55.0/CV≤0.55/OVER,,-5.0,55.0,0.55,OVER,103,92,62,30,67.39,57.28,76.11,3.59,-11.36,18.53,3.299,0.583,12
HR≥50.0/EDG≥2.5/TP≥55.0/CV≤-/ANY,50.0,2.5,55.0,,ANY,57,52,35,17,67.31,53.76,78.48,3.59,-16.38,23.56,1.868,0.583,12
HR≥-/EDG≥-5.0/TP≥40.0/CV≤0.5/ANY,,-5.0,40.0,0.5,ANY,259,238,136,102,57.14,50.79,63.27,3.58,-8.21,15.37,8.52,0.538,13
HR≥55.0/EDG≥-5.0/TP≥40.0/CV≤0.6/ANY,55.0,-5.0,40.0,0.6,ANY,75,69,45,24,65.22,53.45,75.38,3.54,-15.01,22.08,2.439,0.5,12
HR≥55.0/EDG≥-2.5/TP≥-/CV≤0.55/ANY,55.0,-2.5,,0.55,ANY,62,57,36,21,63.16,50.18,74.48,3.54,-17.94,25.02,2.018,0.5,12
HR≥-/EDG≥-5.0/TP≥-/CV≤0.55/ANY,,-5.0,,0.55,ANY,299,271,155,116,57.2,51.24,62.95,3.5,-7.52,14.52,9.474,0.615,13
HR≥-/EDG≥0.0/TP≥55.0/CV≤-/OVER,,0.0,55.0,,OVER,102,92,61,31,66.3,56.17,75.14,3.46,-11.84,18.75,3.18,0.583,12
HR≥50.0/EDG≥-2.5/TP≥60.0/CV≤-/ANY,50.0,-2.5,60.0,,ANY,57,52,37,15,71.15,57.73,81.67,3.43,-14.73,21.59,1.783,0.5,12
HR≥50.0/EDG≥-2.5/TP≥60.0/CV≤-/OVER,50.0,-2.5,60.0,,OVER,57,52,37,15,71.15,57.73,81.67,3.43,-14.73,21.59,1.783,0.5,12
HR≥50.0/EDG≥2.5/TP≥50.0/CV≤-/ANY,50.0,2.5,50.0,,ANY,76,68,44,24,64.71,52.84,75.0,3.42,-15.11,21.96,2.329,0.538,13
HR≥-/EDG≥5.0/TP≥-/CV≤0.7/ANY,,5.0,,0.7,ANY,251,228,127,101,55.7,49.21,62.0,3.41,-8.92,15.73,7.768,0.462,13
HR≥50.0/EDG≥2.5/TP≥40.0/CV≤-/ANY,50.0,2.5,40.0,,ANY,93,85,52,33,61.18,50.55,70.84,3.41,-14.77,21.58,2.894,0.692,13
HR≥-/EDG≥5.0/TP≥-/CV≤0.55/ANY,,5.0,,0.55,ANY,201,183,102,81,55.74,48.5,62.74,3.39,-10.36,17.15,6.206,0.385,13
HR≥-/EDG≥-5.0/TP≥40.0/CV≤0.7/ANY,,-5.0,40.0,0.7,ANY,385,351,203,148,57.83,52.61,62.89,3.38,-6.17,12.93,11.86,0.615,13
HR≥-/EDG≥-2.5/TP≥55.0/CV≤-/ANY,,-2.5,55.0,,ANY,177,162,107,55,66.05,58.46,72.89,3.38,-8.19,14.95,5.471,0.667,12
HR≥50.0/EDG≥0.0/TP≥50.0/CV≤0.55/OVER,50.0,0.0,50.0,0.55,OVER,71,63,41,22,65.08,52.75,75.67,3.38,-15.72,22.48,2.129,0.615,13
HR≥60.0/EDG≥-/TP≥50.0/CV≤0.6/OVER,60.0,,50.0,0.6,OVER,60,55,38,17,69.09,55.97,79.72,3.38,-15.3,22.05,1.858,0.545,11
HR≥-/EDG≥5.0/TP≥50.0/CV≤0.5/OVER,,5.0,50.0,0.5,OVER,74,65,41,24,63.08,50.92,73.77,3.37,-16.21,22.96,2.192,0.462,13
HR≥50.0/EDG≥-5.0/TP≥65.0/CV≤0.6/ANY,50.0,-5.0,65.0,0.6,ANY,54,50,36,14,72.0,58.33,82.53,3.36,-14.76,21.48,1.682,0.417,12
