combo_label,n,graded,wins,losses,pushes,ungraded,hit_rate_pct,roi_pct,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,balanced_score
HR20=70 EDG=0,118,54,50,4,0,64,92.59,8.67,4.6814,54.0,-782.254,89.644,0.594,84.399,0.8107
HR20=70 EDG=-2.5,153,76,71,5,0,77,93.42,8.08,6.1379,76.0,-951.314,88.822,0.581,84.544,0.8349
HR20=70 EDG=-5,195,102,93,9,0,93,91.18,5.12,5.2258,102.0,-954.446,87.185,0.58,84.475,0.8409
HR20=65 EDG=10,41,9,9,0,0,32,100.0,25.74,2.3163,9.0,-379.634,93.073,0.64,79.006,
HR20=65 EDG=5,72,23,21,2,0,49,91.3,13.44,3.0901,23.0,-413.097,90.475,0.647,79.207,0.8159
HR20=65 EDG=2.5,108,39,35,4,0,69,89.74,9.89,3.8584,39.0,-484.796,89.225,0.645,80.573,0.7991
HR20=65 EDG=0,139,59,54,5,0,80,91.53,7.95,4.6912,59.0,-721.763,89.173,0.627,81.559,0.8103
HR20=65 EDG=-2.5,178,83,77,6,0,95,92.77,8.05,6.6779,83.0,-870.747,88.265,0.61,81.889,0.8442
HR20=65 EDG=-5,224,110,100,10,0,114,90.91,5.52,6.0688,110.0,-879.344,86.686,0.614,82.025,0.8559
HR20=60 EDG=10,41,9,9,0,0,32,100.0,25.74,2.3163,9.0,-379.634,93.073,0.64,79.006,
HR20=60 EDG=5,74,23,21,2,0,51,91.3,13.44,3.0901,23.0,-413.365,90.458,0.656,78.688,0.8159
HR20=60 EDG=2.5,110,39,35,4,0,71,89.74,9.89,3.8584,39.0,-483.673,89.237,0.651,80.199,0.7991
HR20=60 EDG=0,145,61,56,5,0,84,91.8,8.53,5.2049,61.0,-708.428,88.921,0.639,80.692,0.8189
HR20=60 EDG=-2.5,188,87,81,6,0,101,93.1,8.61,7.4915,87.0,-849.011,87.959,0.626,80.763,0.8553
HR20=60 EDG=-5,237,116,106,10,0,121,91.38,6.39,7.408,116.0,-855.215,86.361,0.627,80.878,0.8728
HR20=55 EDG=10,43,9,9,0,0,34,100.0,25.74,2.3163,9.0,-376.744,93.079,0.649,77.889,
HR20=55 EDG=5,76,23,21,2,0,53,91.3,13.44,3.0901,23.0,-410.842,90.531,0.661,78.064,0.8159
HR20=55 EDG=2.5,115,41,36,5,0,74,87.8,7.46,3.0584,41.0,-478.852,89.156,0.659,79.113,0.7533
HR20=55 EDG=0,153,64,58,6,0,89,90.62,7.2,4.6049,64.0,-691.81,88.726,0.654,79.359,0.8097
HR20=55 EDG=-2.5,197,91,84,7,0,106,92.31,7.82,7.1138,91.0,-828.371,87.81,0.639,79.597,0.8529
HR20=55 EDG=-5,246,120,109,11,0,126,90.83,5.86,7.0302,120.0,-838.459,86.3,0.638,79.94,0.873
HR20=50 EDG=10,46,12,12,0,0,34,100.0,26.61,3.1938,12.0,-374.783,92.893,0.665,76.169,
HR20=50 EDG=5,82,29,26,3,0,53,89.66,12.35,3.5811,29.0,-405.11,90.09,0.671,76.122,0.809
HR20=50 EDG=2.5,122,48,41,7,0,74,85.42,5.31,2.5494,48.0,-470.27,88.843,0.666,77.517,0.7116
HR20=50 EDG=0,160,71,63,8,0,89,88.73,5.77,4.0959,71.0,-675.95,88.506,0.659,78.132,0.7891
HR20=50 EDG=-2.5,206,99,90,9,0,107,90.91,6.94,6.8715,99.0,-806.888,87.547,0.643,78.371,0.855
HR20=50 EDG=-5,257,130,117,13,0,127,90.0,5.61,7.2882,130.0,-817.603,86.061,0.64,78.73,0.8842
