combo_label,n,graded,wins,losses,pushes,ungraded,hit_rate_pct,roi_pct,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,balanced_score
CV<==1.1,692,430,340,90,0,262,79.07,-7.18,-30.8688,430.0,-867.019,75.839,0.656,66.061,0.6416
TP=75,336,197,178,19,0,139,90.36,2.29,4.5052,197.0,-1180.461,85.541,0.613,79.49,0.8729
TP=70,417,240,208,32,0,177,86.67,-1.08,-2.6025,240.0,-1071.408,83.005,0.631,77.867,0.7976
TP=65,481,275,236,39,0,206,85.82,-1.48,-4.0733,275.0,-1015.95,80.971,0.647,76.956,0.7829
TP=60,539,299,250,49,0,240,83.61,-3.64,-10.8959,299.0,-966.904,79.036,0.671,75.988,0.7337
TP=55,583,327,266,61,0,256,81.35,-5.77,-18.8625,327.0,-928.238,77.571,0.688,74.615,0.6842
TP=50,606,342,277,65,0,264,80.99,-5.84,-19.9737,342.0,-907.546,77.014,0.699,73.565,0.679
EDG=10,86,47,39,8,0,39,82.98,5.08,2.3873,47.0,-383.895,84.088,0.86,46.279,0.6774
EDG=5,151,87,71,16,0,64,81.61,2.73,2.3729,87.0,-405.636,82.843,0.894,47.828,0.6916
EDG=2.5,215,129,105,24,0,86,81.4,0.8,1.0339,129.0,-501.823,83.078,0.884,50.475,0.7272
EDG=0,271,165,136,29,0,106,82.42,0.12,0.2053,165.0,-640.834,83.355,0.88,52.484,0.7565
EDG=-2.5,338,209,176,33,0,129,84.21,1.4,2.9201,209.0,-726.962,83.041,0.857,54.102,0.7916
EDG=-5,412,258,216,42,0,154,83.72,0.6,1.5504,258.0,-727.308,82.232,0.845,55.464,0.7775
BK=1,940,584,461,123,0,356,78.94,-5.71,-33.3333,584.0,-772.99,74.949,0.881,56.324,0.6546
BK=2,390,315,262,53,0,75,83.17,-3.59,-11.3093,315.0,-1185.582,76.139,0.619,71.228,0.7287
BK=3,353,285,239,46,0,68,83.86,-3.44,-9.7903,285.0,-1223.108,76.176,0.592,75.889,0.7389
BK=4,286,227,186,41,0,59,81.94,-3.33,-7.5593,227.0,-774.559,74.224,0.602,73.688,0.716
BK=5,230,184,149,35,0,46,80.98,-2.8,-5.1484,184.0,-609.683,72.639,0.606,71.88,0.7092
