band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥45/EDG≥-/CV≤-/μ≥1.0/TP≥50,61.33,,,1.0,50.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥-/CV≤-/μ≥1.0/TP≥55,61.33,,,1.0,55.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥-/CV≤-/μ≥1.0/TP≥60,61.33,,,1.0,60.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥-/CV≤-/μ≥1.0/TP≥65,64.29,,,1.0,65.0,67,56,36,20,64.29,-9.48,-27.33,8.38,-5.308,0.4,10
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥-/TP≥-,59.82,,0.7,,,128,112,67,45,59.82,-14.85,-27.85,-1.85,-16.636,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥-/TP≥50,59.82,,0.7,,50.0,128,112,67,45,59.82,-14.85,-27.85,-1.85,-16.636,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥-/TP≥55,59.82,,0.7,,55.0,127,112,67,45,59.82,-14.85,-27.85,-1.85,-16.636,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥-/TP≥60,60.36,,0.7,,60.0,126,111,67,44,60.36,-14.09,-27.12,-1.06,-15.636,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥-/TP≥65,63.83,,0.7,,65.0,105,94,60,34,63.83,-9.71,-23.54,4.12,-9.126,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.0/TP≥-,59.63,,0.7,0.0,,125,109,65,44,59.63,-15.13,-28.32,-1.94,-16.487,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.0/TP≥50,59.63,,0.7,0.0,50.0,125,109,65,44,59.63,-15.13,-28.32,-1.94,-16.487,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.0/TP≥55,59.63,,0.7,0.0,55.0,124,109,65,44,59.63,-15.13,-28.32,-1.94,-16.487,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.0/TP≥60,60.19,,0.7,0.0,60.0,123,108,65,43,60.19,-14.34,-27.56,-1.12,-15.487,0.25,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.0/TP≥65,63.74,,0.7,0.0,65.0,102,91,58,33,63.74,-9.87,-23.93,4.2,-8.978,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.5/TP≥-,63.64,,0.7,0.5,,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.5/TP≥50,63.64,,0.7,0.5,50.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.5/TP≥55,63.64,,0.7,0.5,55.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.5/TP≥60,63.64,,0.7,0.5,60.0,75,66,42,24,63.64,-9.83,-26.43,6.77,-6.49,0.333,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.7/μ≥0.5/TP≥65,66.67,,0.7,0.5,65.0,63,57,38,19,66.67,-6.11,-23.53,11.31,-3.481,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥-/TP≥-,60.0,,0.6,,,40,35,21,14,60.0,-14.14,-37.74,9.46,-4.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥-/TP≥50,60.0,,0.6,,50.0,40,35,21,14,60.0,-14.14,-37.74,9.46,-4.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥-/TP≥55,60.0,,0.6,,55.0,40,35,21,14,60.0,-14.14,-37.74,9.46,-4.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥-/TP≥60,61.76,,0.6,,60.0,39,34,21,13,61.76,-11.61,-35.38,12.15,-3.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥0.0/TP≥-,60.0,,0.6,0.0,,40,35,21,14,60.0,-14.14,-37.74,9.46,-4.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥0.0/TP≥50,60.0,,0.6,0.0,50.0,40,35,21,14,60.0,-14.14,-37.74,9.46,-4.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥0.0/TP≥55,60.0,,0.6,0.0,55.0,40,35,21,14,60.0,-14.14,-37.74,9.46,-4.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-/CV≤0.6/μ≥0.0/TP≥60,61.76,,0.6,0.0,60.0,39,34,21,13,61.76,-11.61,-35.38,12.15,-3.949,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥-/TP≥-,60.75,-5.0,,,,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥-/TP≥50,60.75,-5.0,,,50.0,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥-/TP≥55,60.75,-5.0,,,55.0,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥-/TP≥60,60.75,-5.0,,,60.0,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥-/TP≥65,62.42,-5.0,,,65.0,340,306,191,115,62.42,-11.0,-18.76,-3.24,-33.654,0.308,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.0/TP≥-,60.75,-5.0,,0.0,,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.0/TP≥50,60.75,-5.0,,0.0,50.0,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.0/TP≥55,60.75,-5.0,,0.0,55.0,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.0/TP≥60,60.75,-5.0,,0.0,60.0,479,428,260,168,60.75,-12.28,-18.98,-5.58,-52.565,0.154,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.0/TP≥65,62.42,-5.0,,0.0,65.0,340,306,191,115,62.42,-11.0,-18.76,-3.24,-33.654,0.308,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.5/TP≥-,62.33,-5.0,,0.5,,343,300,187,113,62.33,-10.35,-18.26,-2.44,-31.044,0.077,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.5/TP≥50,62.33,-5.0,,0.5,50.0,343,300,187,113,62.33,-10.35,-18.26,-2.44,-31.044,0.077,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.5/TP≥55,62.33,-5.0,,0.5,55.0,343,300,187,113,62.33,-10.35,-18.26,-2.44,-31.044,0.077,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.5/TP≥60,62.33,-5.0,,0.5,60.0,343,300,187,113,62.33,-10.35,-18.26,-2.44,-31.044,0.077,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥0.5/TP≥65,64.55,-5.0,,0.5,65.0,250,220,142,78,64.55,-8.31,-17.32,0.71,-18.278,0.308,13
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥1.0/TP≥-,61.33,-5.0,,1.0,,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥1.0/TP≥50,61.33,-5.0,,1.0,50.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥1.0/TP≥55,61.33,-5.0,,1.0,55.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥1.0/TP≥60,61.33,-5.0,,1.0,60.0,91,75,46,29,61.33,-12.47,-28.33,3.39,-9.353,0.4,10
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤-/μ≥1.0/TP≥65,64.29,-5.0,,1.0,65.0,67,56,36,20,64.29,-9.48,-27.33,8.38,-5.308,0.4,10
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥-/TP≥-,60.0,-5.0,0.7,,,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥-/TP≥50,60.0,-5.0,0.7,,50.0,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥-/TP≥55,60.0,-5.0,0.7,,55.0,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥-/TP≥60,60.0,-5.0,0.7,,60.0,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥-/TP≥65,63.29,-5.0,0.7,,65.0,87,79,50,29,63.29,-10.54,-25.68,4.61,-8.324,0.417,12
"[-299,-200]",HR≥45/EDG≥-5.0/CV≤0.7/μ≥0.0/TP≥-,60.0,-5.0,0.7,0.0,,107,95,57,38,60.0,-14.56,-28.69,-0.44,-13.834,0.25,12
