band,fold,HR20,EDG_min,CV_max,mu_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
"[-109,+100]",A: 05-03..06,-,5,0.4,≥0.5,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-04/1p/+-1.00u,2026-05-04/1p/-1.00u
"[-109,+100]",B: 05-07..10,-,5,0.7,-,3,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-08/1p/+-1.00u,2026-05-08/1p/-1.00u
"[-109,+100]",B: 05-07..10,-,5,0.7,≥0.0,3,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-08/1p/+-1.00u,2026-05-08/1p/-1.00u
"[-109,+100]",B: 05-07..10,-,5,0.7,≥0.5,3,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-08/1p/+-1.00u,2026-05-08/1p/-1.00u
"[-109,+100]",B: 05-07..10,-,5,0.5,-,2,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-08/1p/+-1.00u,2026-05-08/1p/-1.00u
"[-109,+100]",B: 05-07..10,-,5,0.5,≥0.0,2,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-08/1p/+-1.00u,2026-05-08/1p/-1.00u
"[-109,+100]",B: 05-07..10,-,5,0.5,≥0.5,2,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-08/1p/+-1.00u,2026-05-08/1p/-1.00u
"[-109,+100]",C: 05-11..15,-,5,0.7,-,6,6,5,1,83.33,64.49,-0.04,129.02,3.869,1.0,3,2026-05-13/2p/+2.00u,2026-05-12/3p/+0.93u
"[-109,+100]",C: 05-11..15,-,5,0.7,≥0.0,6,6,5,1,83.33,64.49,-0.04,129.02,3.869,1.0,3,2026-05-13/2p/+2.00u,2026-05-12/3p/+0.93u
"[-109,+100]",C: 05-11..15,-,5,0.7,≥0.5,4,4,3,1,75.0,48.15,-48.7,145.0,1.926,0.5,2,2026-05-13/2p/+2.00u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,-,5,0.5,-,6,6,5,1,83.33,64.49,-0.04,129.02,3.869,1.0,3,2026-05-13/2p/+2.00u,2026-05-12/3p/+0.93u
"[-109,+100]",C: 05-11..15,-,5,0.5,≥0.0,6,6,5,1,83.33,64.49,-0.04,129.02,3.869,1.0,3,2026-05-13/2p/+2.00u,2026-05-12/3p/+0.93u
"[-109,+100]",C: 05-11..15,-,5,0.5,≥0.5,4,4,3,1,75.0,48.15,-48.7,145.0,1.926,0.5,2,2026-05-13/2p/+2.00u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,-,5,0.4,-,3,3,3,0,100.0,95.64,91.26,100.03,2.869,1.0,2,2026-05-12/2p/+1.93u,2026-05-14/1p/+0.94u
"[-109,+100]",C: 05-11..15,-,5,0.4,≥0.0,3,3,3,0,100.0,95.64,91.26,100.03,2.869,1.0,2,2026-05-12/2p/+1.93u,2026-05-14/1p/+0.94u
"[-109,+100]",C: 05-11..15,-,5,0.4,≥0.5,1,1,1,0,100.0,92.59,92.59,92.59,0.926,1.0,1,2026-05-12/1p/+0.93u,2026-05-12/1p/+0.93u
"[-109,+100]",C: 05-11..15,≥50,5,0.7,-,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,≥50,5,0.7,≥0.0,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,≥50,5,0.7,≥0.5,2,2,1,1,50.0,-3.7,-192.44,185.04,-0.074,0.0,1,2026-05-12/2p/+-0.07u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,≥50,5,0.5,-,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,≥50,5,0.5,≥0.0,3,3,2,1,66.67,28.98,-97.42,155.38,0.869,0.5,2,2026-05-14/1p/+0.94u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,≥50,5,0.5,≥0.5,2,2,1,1,50.0,-3.7,-192.44,185.04,-0.074,0.0,1,2026-05-12/2p/+-0.07u,2026-05-12/2p/-0.07u
"[-109,+100]",C: 05-11..15,≥50,5,0.4,-,2,2,2,0,100.0,93.47,91.75,95.18,1.869,1.0,2,2026-05-14/1p/+0.94u,2026-05-12/1p/+0.93u
"[-109,+100]",C: 05-11..15,≥50,5,0.4,≥0.0,2,2,2,0,100.0,93.47,91.75,95.18,1.869,1.0,2,2026-05-14/1p/+0.94u,2026-05-12/1p/+0.93u
"[-109,+100]",C: 05-11..15,≥50,5,0.4,≥0.5,1,1,1,0,100.0,92.59,92.59,92.59,0.926,1.0,1,2026-05-12/1p/+0.93u,2026-05-12/1p/+0.93u
"[+101,+200]",OVERALL,-,5,0.7,-,53,48,27,21,56.25,26.46,-5.56,58.47,12.7,0.75,12,2026-05-03/6p/+5.17u,2026-05-04/2p/-2.00u
"[+101,+200]",OVERALL,-,5,0.7,≥0.0,50,46,26,20,56.52,26.63,-5.95,59.21,12.25,0.75,12,2026-05-03/6p/+5.17u,2026-05-04/2p/-2.00u
"[+101,+200]",OVERALL,-,5,0.7,≥0.5,35,32,18,14,56.25,25.25,-13.8,64.3,8.08,0.583,12,2026-05-06/4p/+4.99u,2026-05-04/2p/-2.00u
"[+101,+200]",OVERALL,-,5,0.5,-,42,38,21,17,55.26,25.16,-11.27,61.59,9.56,0.667,12,2026-05-03/3p/+3.91u,2026-05-04/2p/-2.00u
"[+101,+200]",OVERALL,-,5,0.5,≥0.0,40,36,20,16,55.56,25.31,-11.97,62.58,9.11,0.667,12,2026-05-03/3p/+3.91u,2026-05-04/2p/-2.00u
"[+101,+200]",OVERALL,-,5,0.5,≥0.5,27,24,14,10,58.33,30.58,-14.71,75.87,7.34,0.636,11,2026-05-06/3p/+3.84u,2026-05-04/2p/-2.00u
"[+101,+200]",OVERALL,-,5,0.4,-,24,20,12,8,60.0,37.25,-13.36,87.86,7.45,0.889,9,2026-05-13/4p/+3.05u,2026-05-04/1p/-1.00u
"[+101,+200]",OVERALL,-,5,0.4,≥0.0,22,18,11,7,61.11,38.89,-14.01,91.79,7.0,0.889,9,2026-05-13/3p/+1.60u,2026-05-04/1p/-1.00u
"[+101,+200]",OVERALL,-,5,0.4,≥0.5,16,13,9,4,69.23,55.23,-3.62,114.09,7.18,0.667,9,2026-05-13/2p/+2.60u,2026-05-04/1p/-1.00u
"[+101,+200]",OVERALL,≥50,5,0.7,-,7,6,4,2,66.67,49.83,-43.51,143.18,2.99,1.0,3,2026-05-03/2p/+2.55u,2026-05-09/2p/+0.04u
"[+101,+200]",OVERALL,≥50,5,0.7,≥0.0,7,6,4,2,66.67,49.83,-43.51,143.18,2.99,1.0,3,2026-05-03/2p/+2.55u,2026-05-09/2p/+0.04u
"[+101,+200]",OVERALL,≥50,5,0.7,≥0.5,6,5,3,2,60.0,33.8,-73.85,141.45,1.69,1.0,3,2026-05-03/1p/+1.25u,2026-05-09/2p/+0.04u
"[+101,+200]",OVERALL,≥50,5,0.5,-,7,6,4,2,66.67,49.83,-43.51,143.18,2.99,1.0,3,2026-05-03/2p/+2.55u,2026-05-09/2p/+0.04u
"[+101,+200]",OVERALL,≥50,5,0.5,≥0.0,7,6,4,2,66.67,49.83,-43.51,143.18,2.99,1.0,3,2026-05-03/2p/+2.55u,2026-05-09/2p/+0.04u
"[+101,+200]",OVERALL,≥50,5,0.5,≥0.5,6,5,3,2,60.0,33.8,-73.85,141.45,1.69,1.0,3,2026-05-03/1p/+1.25u,2026-05-09/2p/+0.04u
"[+101,+200]",OVERALL,≥50,5,0.4,-,5,4,3,1,75.0,67.25,-42.97,177.47,2.69,1.0,3,2026-05-03/1p/+1.25u,2026-05-10/2p/+0.40u
"[+101,+200]",OVERALL,≥50,5,0.4,≥0.0,5,4,3,1,75.0,67.25,-42.97,177.47,2.69,1.0,3,2026-05-03/1p/+1.25u,2026-05-10/2p/+0.40u
"[+101,+200]",OVERALL,≥50,5,0.4,≥0.5,5,4,3,1,75.0,67.25,-42.97,177.47,2.69,1.0,3,2026-05-03/1p/+1.25u,2026-05-10/2p/+0.40u
"[+101,+200]",A: 05-03..06,-,5,0.7,-,17,15,10,5,66.67,48.07,-7.06,103.19,7.21,0.75,4,2026-05-03/6p/+5.17u,2026-05-04/2p/-2.00u
"[+101,+200]",A: 05-03..06,-,5,0.7,≥0.0,16,14,10,4,71.43,58.64,3.78,113.51,8.21,0.75,4,2026-05-03/6p/+5.17u,2026-05-04/2p/-2.00u
"[+101,+200]",A: 05-03..06,-,5,0.7,≥0.5,13,11,8,3,72.73,60.55,-0.84,121.93,6.66,0.75,4,2026-05-06/4p/+4.99u,2026-05-04/2p/-2.00u
"[+101,+200]",A: 05-03..06,-,5,0.5,-,13,11,7,4,63.64,43.64,-23.94,111.21,4.8,0.75,4,2026-05-03/3p/+3.91u,2026-05-04/2p/-2.00u
"[+101,+200]",A: 05-03..06,-,5,0.5,≥0.0,12,10,7,3,70.0,58.0,-9.92,125.92,5.8,0.75,4,2026-05-03/3p/+3.91u,2026-05-04/2p/-2.00u
"[+101,+200]",A: 05-03..06,-,5,0.5,≥0.5,10,8,6,2,75.0,68.75,-3.92,141.42,5.5,0.75,4,2026-05-06/3p/+3.84u,2026-05-04/2p/-2.00u
"[+101,+200]",A: 05-03..06,-,5,0.4,-,8,6,3,3,50.0,10.67,-86.63,107.96,0.64,0.75,4,2026-05-03/1p/+1.25u,2026-05-04/1p/-1.00u
"[+101,+200]",A: 05-03..06,-,5,0.4,≥0.0,7,5,3,2,60.0,32.8,-73.86,139.46,1.64,0.75,4,2026-05-03/1p/+1.25u,2026-05-04/1p/-1.00u
"[+101,+200]",A: 05-03..06,-,5,0.4,≥0.5,6,4,3,1,75.0,66.0,-43.1,175.1,2.64,0.75,4,2026-05-06/1p/+1.34u,2026-05-04/1p/-1.00u
"[+101,+200]",A: 05-03..06,≥50,5,0.7,-,2,2,2,0,100.0,127.5,122.6,132.4,2.55,1.0,1,2026-05-03/2p/+2.55u,2026-05-03/2p/+2.55u
"[+101,+200]",A: 05-03..06,≥50,5,0.7,≥0.0,2,2,2,0,100.0,127.5,122.6,132.4,2.55,1.0,1,2026-05-03/2p/+2.55u,2026-05-03/2p/+2.55u
"[+101,+200]",A: 05-03..06,≥50,5,0.7,≥0.5,1,1,1,0,100.0,125.0,125.0,125.0,1.25,1.0,1,2026-05-03/1p/+1.25u,2026-05-03/1p/+1.25u
"[+101,+200]",A: 05-03..06,≥50,5,0.5,-,2,2,2,0,100.0,127.5,122.6,132.4,2.55,1.0,1,2026-05-03/2p/+2.55u,2026-05-03/2p/+2.55u
"[+101,+200]",A: 05-03..06,≥50,5,0.5,≥0.0,2,2,2,0,100.0,127.5,122.6,132.4,2.55,1.0,1,2026-05-03/2p/+2.55u,2026-05-03/2p/+2.55u
"[+101,+200]",A: 05-03..06,≥50,5,0.5,≥0.5,1,1,1,0,100.0,125.0,125.0,125.0,1.25,1.0,1,2026-05-03/1p/+1.25u,2026-05-03/1p/+1.25u
"[+101,+200]",A: 05-03..06,≥50,5,0.4,-,1,1,1,0,100.0,125.0,125.0,125.0,1.25,1.0,1,2026-05-03/1p/+1.25u,2026-05-03/1p/+1.25u
"[+101,+200]",A: 05-03..06,≥50,5,0.4,≥0.0,1,1,1,0,100.0,125.0,125.0,125.0,1.25,1.0,1,2026-05-03/1p/+1.25u,2026-05-03/1p/+1.25u
"[+101,+200]",A: 05-03..06,≥50,5,0.4,≥0.5,1,1,1,0,100.0,125.0,125.0,125.0,1.25,1.0,1,2026-05-03/1p/+1.25u,2026-05-03/1p/+1.25u
"[+101,+200]",B: 05-07..10,-,5,0.7,-,20,17,9,8,52.94,19.71,-35.83,75.25,3.35,1.0,3,2026-05-10/5p/+1.91u,2026-05-08/2p/+0.30u
"[+101,+200]",B: 05-07..10,-,5,0.7,≥0.0,19,17,9,8,52.94,19.71,-35.83,75.25,3.35,1.0,3,2026-05-10/5p/+1.91u,2026-05-08/2p/+0.30u
"[+101,+200]",B: 05-07..10,-,5,0.7,≥0.5,12,11,6,5,54.55,22.18,-47.28,91.64,2.44,0.667,3,2026-05-09/6p/+2.99u,2026-05-08/1p/-1.00u
"[+101,+200]",B: 05-07..10,-,5,0.5,-,16,14,7,7,50.0,12.86,-48.76,74.47,1.8,0.667,3,2026-05-10/5p/+1.91u,2026-05-09/8p/-1.41u
"[+101,+200]",B: 05-07..10,-,5,0.5,≥0.0,16,14,7,7,50.0,12.86,-48.76,74.47,1.8,0.667,3,2026-05-10/5p/+1.91u,2026-05-09/8p/-1.41u
"[+101,+200]",B: 05-07..10,-,5,0.5,≥0.5,10,9,5,4,55.56,22.67,-53.71,99.05,2.04,1.0,2,2026-05-09/5p/+1.59u,2026-05-10/4p/+0.45u
"[+101,+200]",B: 05-07..10,-,5,0.4,-,9,7,4,3,57.14,31.43,-60.16,123.02,2.2,1.0,2,2026-05-09/3p/+1.34u,2026-05-10/4p/+0.86u
"[+101,+200]",B: 05-07..10,-,5,0.4,≥0.0,9,7,4,3,57.14,31.43,-60.16,123.02,2.2,1.0,2,2026-05-09/3p/+1.34u,2026-05-10/4p/+0.86u
