band,fold,HR20,EDG_min,CV_max,mu_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
0.5/-/sub:+141..+170,OVERALL,-,5,0.5,-,4,4,2,2,50.0,22.75,-116.16,161.66,0.91,0.667,3,2026-05-13/1p/+1.45u,2026-05-09/1p/-1.00u
0.5/≥0.0/sub:+101..+120,OVERALL,-,5,0.5,≥0.0,17,14,7,7,50.0,4.93,-52.17,62.03,0.69,0.778,9,2026-05-12/1p/+1.20u,2026-05-04/2p/-2.00u
0.5/≥0.0/sub:+121..+140,OVERALL,-,5,0.5,≥0.0,20,19,12,7,63.16,47.16,-4.8,99.12,8.96,0.7,10,2026-05-03/3p/+3.91u,2026-05-11/1p/-1.00u
0.5/≥0.0/sub:+141..+170,OVERALL,-,5,0.5,≥0.0,3,3,1,2,33.33,-18.0,-178.72,142.72,-0.54,0.5,2,2026-05-10/2p/+0.46u,2026-05-09/1p/-1.00u
0.4/-/sub:+101..+120,OVERALL,-,5,0.4,-,10,7,4,3,57.14,21.29,-62.89,105.46,1.49,0.667,6,2026-05-12/1p/+1.20u,2026-05-04/1p/-1.00u
0.4/-/sub:+121..+140,OVERALL,-,5,0.4,-,11,10,6,4,60.0,40.5,-34.5,115.5,4.05,0.857,7,2026-05-10/1p/+1.40u,2026-05-05/1p/-1.00u
0.4/-/sub:+141..+170,OVERALL,-,5,0.4,-,3,3,2,1,66.67,63.67,-96.73,224.06,1.91,1.0,2,2026-05-13/1p/+1.45u,2026-05-10/2p/+0.46u
0.4/≥0.0/sub:+101..+120,OVERALL,-,5,0.4,≥0.0,10,7,4,3,57.14,21.29,-62.89,105.46,1.49,0.667,6,2026-05-12/1p/+1.20u,2026-05-04/1p/-1.00u
0.4/≥0.0/sub:+121..+140,OVERALL,-,5,0.4,≥0.0,10,9,6,3,66.67,56.11,-20.44,132.67,5.05,1.0,6,2026-05-10/1p/+1.40u,2026-05-09/2p/+0.30u
0.4/≥0.0/sub:+141..+170,OVERALL,-,5,0.4,≥0.0,2,2,1,1,50.0,23.0,-218.08,264.08,0.46,1.0,1,2026-05-10/2p/+0.46u,2026-05-10/2p/+0.46u
