month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥-5.0/CV≤0.5/μ≥0.5/TP≥-,32,32,27,5,84.38,-0.25,-15.36,14.86,-0.08,0.688,16
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥-5.0/CV≤0.5/μ≥1.0/TP≥-,32,32,27,5,84.38,-0.25,-15.36,14.86,-0.08,0.688,16
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤-/μ≥-/TP≥-,33,33,28,5,84.85,0.31,-14.38,15.0,0.102,0.737,19
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤-/μ≥0.0/TP≥-,33,33,28,5,84.85,0.31,-14.38,15.0,0.102,0.737,19
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤-/μ≥0.5/TP≥-,33,33,28,5,84.85,0.31,-14.38,15.0,0.102,0.737,19
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤-/μ≥1.0/TP≥-,33,33,28,5,84.85,0.31,-14.38,15.0,0.102,0.737,19
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.7/μ≥-/TP≥-,31,31,26,5,83.87,-0.79,-16.36,14.78,-0.246,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.7/μ≥0.0/TP≥-,31,31,26,5,83.87,-0.79,-16.36,14.78,-0.246,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.7/μ≥0.5/TP≥-,31,31,26,5,83.87,-0.79,-16.36,14.78,-0.246,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.7/μ≥1.0/TP≥-,31,31,26,5,83.87,-0.79,-16.36,14.78,-0.246,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.6/μ≥-/TP≥-,30,30,25,5,83.33,-1.4,-17.45,14.65,-0.42,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.6/μ≥0.0/TP≥-,30,30,25,5,83.33,-1.4,-17.45,14.65,-0.42,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.6/μ≥0.5/TP≥-,30,30,25,5,83.33,-1.4,-17.45,14.65,-0.42,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥60/EDG≥0.0/CV≤0.6/μ≥1.0/TP≥-,30,30,25,5,83.33,-1.4,-17.45,14.65,-0.42,0.722,18
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤-/μ≥-/TP≥-,80,78,69,9,88.46,4.65,-3.79,13.1,3.629,0.75,28
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤-/μ≥0.0/TP≥-,73,72,64,8,88.89,5.15,-3.5,13.8,3.71,0.731,26
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤-/μ≥0.5/TP≥-,70,69,62,7,89.86,6.25,-2.24,14.73,4.31,0.769,26
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤-/μ≥1.0/TP≥-,61,60,54,6,90.0,6.42,-2.64,15.47,3.85,0.769,26
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.7/μ≥-/TP≥-,77,75,67,8,89.33,5.69,-2.64,14.01,4.265,0.741,27
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.7/μ≥0.0/TP≥-,70,69,62,7,89.86,6.3,-2.19,14.79,4.345,0.72,25
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.7/μ≥0.5/TP≥-,67,66,60,6,90.91,7.49,-0.77,15.76,4.945,0.76,25
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.7/μ≥1.0/TP≥-,59,58,52,6,89.66,6.01,-3.34,15.36,3.486,0.76,25
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.6/μ≥-/TP≥-,73,71,63,8,88.73,4.99,-3.78,13.76,3.543,0.741,27
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.6/μ≥0.0/TP≥-,66,65,58,7,89.23,5.57,-3.41,14.56,3.623,0.72,25
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.6/μ≥0.5/TP≥-,64,63,57,6,90.48,7.02,-1.62,15.67,4.423,0.76,25
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.6/μ≥1.0/TP≥-,56,55,49,6,89.09,5.39,-4.45,15.23,2.964,0.75,24
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.5/μ≥-/TP≥-,61,60,53,7,88.33,4.45,-5.24,14.14,2.669,0.769,26
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.5/μ≥0.0/TP≥-,54,54,48,6,88.89,5.09,-4.91,15.1,2.749,0.75,24
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.5/μ≥0.5/TP≥-,53,53,48,5,90.57,7.07,-2.32,16.47,3.749,0.792,24
2025-06,pitcher_strikeouts,OVER,"[-599,-500]",HR≥65/EDG≥-/CV≤0.5/μ≥1.0/TP≥-,45,45,40,5,88.89,5.09,-5.89,16.07,2.29,0.773,22
