month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥-/TP≥50,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥-/TP≥55,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥-/TP≥60,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥-/TP≥65,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.0/TP≥-,401,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.0/TP≥50,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.0/TP≥55,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.0/TP≥60,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.0/TP≥65,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.5/TP≥-,401,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.5/TP≥50,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.5/TP≥55,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.5/TP≥60,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥0.5/TP≥65,205,92,71,21,77.17,-0.26,-11.41,10.89,-0.239,0.462,13
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥1.0/TP≥-,315,71,59,12,83.1,7.34,-4.01,18.69,5.214,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥1.0/TP≥50,161,71,59,12,83.1,7.34,-4.01,18.69,5.214,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥1.0/TP≥55,161,71,59,12,83.1,7.34,-4.01,18.69,5.214,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥1.0/TP≥60,161,71,59,12,83.1,7.34,-4.01,18.69,5.214,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤-/μ≥1.0/TP≥65,161,71,59,12,83.1,7.34,-4.01,18.69,5.214,0.667,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥-/TP≥-,184,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥-/TP≥50,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥-/TP≥55,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥-/TP≥60,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥-/TP≥65,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.0/TP≥-,184,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.0/TP≥50,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.0/TP≥55,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.0/TP≥60,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.0/TP≥65,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.5/TP≥-,184,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.5/TP≥50,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.5/TP≥55,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.5/TP≥60,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥5.0/CV≤0.7/μ≥0.5/TP≥65,94,41,31,10,75.61,-2.03,-19.29,15.22,-0.834,0.545,11
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥-/TP≥-,327,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥-/TP≥50,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥-/TP≥55,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
2026-05,batter_strikeouts,OVER,"[-399,-300]",HR≥65/EDG≥10.0/CV≤-/μ≥-/TP≥60,167,75,59,16,78.67,1.83,-10.26,13.92,1.369,0.5,12
