month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥60,118,100,74,26,74.0,4.67,-7.58,16.91,4.668,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.0/TP≥65,113,95,71,24,74.74,5.66,-6.79,18.11,5.377,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥-,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥50,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥55,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥60,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥0.5/TP≥65,90,74,55,19,74.32,4.81,-9.34,18.97,3.563,0.615,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥-,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥50,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥55,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥60,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-/CV≤0.7/μ≥1.0/TP≥65,47,39,27,12,69.23,-2.19,-22.96,18.58,-0.854,0.636,11
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥-,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥50,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
2026-05,batter_strikeouts,OVER,"[-299,-200]",HR≥-/EDG≥-5.0/CV≤-/μ≥-/TP≥55,439,368,257,111,69.84,-0.7,-7.39,5.99,-2.589,0.462,13
