family,side,band,type,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n,gr,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
earned_runs,OVER,"[+101,+200]",best_pnl,HR≥-/EDG≥0.0/CV≤-/μ≥-/TP≥-,38.71,0.0,,,,37,31,12,19,38.71,-12.42,-51.93,27.09,-3.85,0.545,11
earned_runs,OVER,"[+101,+200]",best_roi,HR≥-/EDG≥0.0/CV≤-/μ≥-/TP≥-,38.71,0.0,,,,37,31,12,19,38.71,-12.42,-51.93,27.09,-3.85,0.545,11
earned_runs,UNDER,"[-199,-150]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,51.43,,,,,39,35,18,17,51.43,-16.65,-43.89,10.58,-5.828,0.333,12
earned_runs,UNDER,"[-199,-150]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,51.43,,,,,39,35,18,17,51.43,-16.65,-43.89,10.58,-5.828,0.333,12
earned_runs,UNDER,"[-149,-110]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,57.58,,,0.0,,37,33,19,14,57.58,2.65,-27.97,33.27,0.875,0.273,11
earned_runs,UNDER,"[-149,-110]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,57.58,,,0.0,,37,33,19,14,57.58,2.65,-27.97,33.27,0.875,0.273,11
earned_runs,UNDER,"[+101,+200]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,66.67,,,,,87,81,54,27,66.67,43.7,21.38,66.03,35.4,1.0,12
earned_runs,UNDER,"[+101,+200]",best_roi,HR≥-/EDG≥5.0/CV≤-/μ≥-/TP≥-,73.33,5.0,,,,33,30,22,8,73.33,56.0,21.67,90.33,16.8,0.833,12
pitcher_strikeouts,UNDER,"[-199,-150]",best_pnl,HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥-,52.94,,0.7,,,39,34,18,16,52.94,-13.58,-41.38,14.23,-4.616,0.182,11
pitcher_strikeouts,UNDER,"[-199,-150]",best_roi,HR≥-/EDG≥-/CV≤0.7/μ≥-/TP≥-,52.94,,0.7,,,39,34,18,16,52.94,-13.58,-41.38,14.23,-4.616,0.182,11
pitcher_strikeouts,UNDER,"[-149,-110]",best_pnl,HR≥-/EDG≥-5.0/CV≤0.6/μ≥-/TP≥-,60.0,-5.0,0.6,,,32,30,18,12,60.0,5.95,-25.6,37.5,1.785,0.636,11
pitcher_strikeouts,UNDER,"[-149,-110]",best_roi,HR≥-/EDG≥-5.0/CV≤0.6/μ≥-/TP≥-,60.0,-5.0,0.6,,,32,30,18,12,60.0,5.95,-25.6,37.5,1.785,0.636,11
pitcher_strikeouts,UNDER,"[-109,+100]",best_pnl,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,50.0,,,,,34,30,15,15,50.0,-1.55,-37.39,34.29,-0.464,0.333,12
pitcher_strikeouts,UNDER,"[-109,+100]",best_roi,HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,50.0,,,,,34,30,15,15,50.0,-1.55,-37.39,34.29,-0.464,0.333,12
pitcher_strikeouts,UNDER,"[+101,+200]",best_pnl,HR≥45/EDG≥-/CV≤0.45/μ≥-/TP≥-,45.95,,0.45,,,40,37,17,20,45.95,0.14,-35.43,35.7,0.05,0.545,11
pitcher_strikeouts,UNDER,"[+101,+200]",best_roi,HR≥45/EDG≥-/CV≤0.45/μ≥-/TP≥-,45.95,,0.45,,,40,37,17,20,45.95,0.14,-35.43,35.7,0.05,0.545,11
