month,family,side,band,cfg,n,gr,w,l,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥-,421,382,287,95,75.13,-5.59,-11.06,-0.12,-21.341,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥50,413,374,281,93,75.13,-5.61,-11.13,-0.08,-20.969,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥55,405,366,276,90,75.41,-5.3,-10.87,0.26,-19.4,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥60,391,352,266,86,75.57,-5.1,-10.77,0.56,-17.966,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥-/TP≥65,363,329,247,82,75.08,-5.74,-11.64,0.15,-18.889,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥-,413,374,281,93,75.13,-5.61,-11.13,-0.08,-20.969,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥50,413,374,281,93,75.13,-5.61,-11.13,-0.08,-20.969,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥55,405,366,276,90,75.41,-5.3,-10.87,0.26,-19.4,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥60,391,352,266,86,75.57,-5.1,-10.77,0.56,-17.966,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥0.0/TP≥65,363,329,247,82,75.08,-5.74,-11.64,0.15,-18.889,0.308,13
2026-05,batter_strikeouts,OVER,"[-500,-300]",HR≥-/EDG≥-/CV≤-/μ≥0.5/TP≥-,311,280,214,66,76.43,-4.26,-10.52,2.0,-11.937,0.385,13
