family,side,band,month,n,gr,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
batter_strikeouts,OVER,"[-500,-300]",2026-05,421,382,75.13,-5.59,-11.06,-0.12,-21.341,0.308,13
earned_runs,OVER,"[-500,-300]",2026-05,140,126,59.52,-26.79,-37.42,-16.17,-33.759,0.143,14
hits,OVER,"[-500,-300]",2026-05,42,39,74.36,-3.22,-21.32,14.87,-1.256,0.6,10
hits,UNDER,"[-500,-300]",2026-05,310,276,76.45,-7.1,-13.21,-0.98,-19.583,0.333,12
pitcher_strikeouts,OVER,"[-500,-300]",2026-05,629,579,87.74,-1.27,-4.36,1.82,-7.365,0.5,14
pitcher_strikeouts,UNDER,"[-500,-300]",2026-05,28,27,85.19,7.12,-10.11,24.35,1.922,0.75,8
runs,UNDER,"[-500,-300]",2026-05,131,110,86.36,-4.23,-11.65,3.18,-4.658,0.636,11
strikeouts,OVER,"[-500,-300]",2026-05,63,0,,,,,0,,0
total_bases,OVER,"[-500,-300]",2026-05,48,45,64.44,-15.83,-34.32,2.66,-7.124,0.25,12
total_bases,UNDER,"[-500,-300]",2026-05,350,292,72.6,-5.53,-12.21,1.14,-16.151,0.286,14
