band,cfg,hr_min,edg_min,cv_max,mu_min,tp_min,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days
"[-299,-200]",HR≥-/EDG≥-/CV≤0.6/μ≥1.0/TP≥60,66.93,,0.6,1.0,60.0,128,127,85,42,66.93,-5.26,-16.91,6.39,-6.675,0.333,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.6/μ≥1.0/TP≥65,67.48,,0.6,1.0,65.0,124,123,83,40,67.48,-4.58,-16.35,7.2,-5.632,0.37,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥-/TP≥-,69.38,,0.5,,,164,160,111,49,69.38,-1.65,-11.83,8.53,-2.642,0.571,28
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥-/TP≥50,68.71,,0.5,,50.0,151,147,101,46,68.71,-2.68,-13.35,8.0,-3.939,0.571,28
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥-/TP≥55,68.28,,0.5,,55.0,149,145,99,46,68.28,-3.33,-14.11,7.46,-4.823,0.571,28
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥-/TP≥60,68.57,,0.5,,60.0,144,140,96,44,68.57,-2.85,-13.8,8.11,-3.987,0.536,28
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥-/TP≥65,68.55,,0.5,,65.0,128,124,85,39,68.55,-3.21,-14.82,8.4,-3.982,0.481,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.0/TP≥-,69.5,,0.5,0.0,,144,141,98,43,69.5,-1.6,-12.42,9.22,-2.258,0.519,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.0/TP≥50,69.5,,0.5,0.0,50.0,144,141,98,43,69.5,-1.6,-12.42,9.22,-2.258,0.519,27
"[-299,-200]",HR≥-/EDG≥-/CV≤0.5/μ≥0.0/TP≥55,69.06,,0.5,0.0,55.0,142,139,96,43,69.06,-2.26,-13.2,8.67,-3.143,0.519,27
