tier,stat_family,status,recommended_combo,n_pool,graded_n,ungraded_n,wins,losses,pushes,HR,HR_ci95_low,HR_ci95_high,ROI,ROI_ci95_low,ROI_ci95_high,P_and_L,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,over_grd,over_roi,under_grd,under_roi,daily_consistency_score,daily_graded_days,outlier_top1_pct_of_net,outlier_top5_pct_of_net,is_outlier_dependent,corr_hr20_vs_profit,corr_edge_vs_profit,corr_cv_vs_profit,corr_tp_vs_profit,artifact_json
safe_haven,pitcher_strikeouts,ok,HR20=90 CV<==0.6,123,36,5,36,0,0,100.0,90.36,100.0,6.75,4.95,8.55,2.4306,0.9175,0,,36,6.75,36,6.75,0,,1.0,3,9.68,39.85,False,0.1673,0.2521,-0.1961,0.2099,/app/backend/audits/gss_mlb_safe_haven_pitcher_strikeouts_2026-05-03_2026-05-05_20260518T065010.json
safe_haven,batter_strikeouts,ok,HR20=75 CV<==1.0,89,39,4,34,5,0,87.18,73.29,94.4,9.02,-5.08,21.2,3.5183,0.905,0,,39,9.02,39,9.02,0,,1.0,3,9.29,45.51,False,0.1628,0.1249,0.0521,0.0784,/app/backend/audits/gss_mlb_safe_haven_batter_strikeouts_2026-05-03_2026-05-05_20260518T065010.json
safe_haven,hits,ok,HR20=75 CV<==0.9,34,10,0,9,1,0,90.0,59.58,98.21,16.04,-10.96,30.67,1.6041,0.9,0,,10,16.04,10,16.04,0,,0.667,3,20.78,99.74,True,0.2025,0.0375,-0.1666,0.2353,/app/backend/audits/gss_mlb_safe_haven_hits_2026-05-03_2026-05-05_20260518T065010.json
safe_haven,total_bases,ok,HR20=80 CV<==1.0,84,5,0,5,0,0,100.0,56.55,100.0,28.86,26.4,30.7,1.4431,0.85,0,,5,28.86,5,28.86,0,,1.0,2,21.45,100.0,True,-0.0478,0.0602,0.0471,0.252,/app/backend/audits/gss_mlb_safe_haven_total_bases_2026-05-03_2026-05-05_20260518T065010.json
