family,side,band,fold,cfg,n_total,n_graded,wins,losses,HR_pct,ROI_pct,ROI_lo,ROI_hi,P_and_L,consist,grd_days,max_win_day,max_loss_day
batter_strikeouts,OVER,"[-199,-150]",C: 05-11..15,edge-med    EDG≥10 CV≤0.50,3,3,2,1,66.67,9.01,-97.83,115.84,0.27,0.667,3,2026-05-13/1p/+0.65u,2026-05-15/1p/-1.00u
batter_strikeouts,OVER,"[-199,-150]",C: 05-11..15,HR65 loose  HR≥65 EDG≥5  CV≤0.70,11,8,2,6,25.0,-61.9,-110.79,-13.0,-4.952,0.25,4,2026-05-12/1p/+0.54u,2026-05-13/5p/-3.49u
batter_strikeouts,OVER,"[-149,-110]",OVERALL,loose       EDG≥5  CV≤0.70,29,26,11,15,42.31,-25.34,-59.56,8.88,-6.589,0.4,10,2026-05-10/3p/+2.16u,2026-05-08/4p/-4.00u
batter_strikeouts,OVER,"[-149,-110]",OVERALL,medium      EDG≥5  CV≤0.50,3,3,0,3,0.0,-100.0,-100.0,-100.0,-3.0,0.0,3,2026-05-08/1p/-1.00u,2026-05-08/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",OVERALL,edge-loose  EDG≥10 CV≤0.70,25,23,9,14,39.13,-30.63,-66.84,5.58,-7.044,0.3,10,2026-05-10/3p/+2.16u,2026-05-08/4p/-4.00u
batter_strikeouts,OVER,"[-149,-110]",OVERALL,edge-med    EDG≥10 CV≤0.50,3,3,0,3,0.0,-100.0,-100.0,-100.0,-3.0,0.0,3,2026-05-08/1p/-1.00u,2026-05-08/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",OVERALL,HR65 loose  HR≥65 EDG≥5  CV≤0.70,15,13,8,5,61.54,8.53,-40.13,57.19,1.109,0.444,9,2026-05-12/2p/+1.78u,2026-05-04/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",A: 05-03..06,loose       EDG≥5  CV≤0.70,4,3,1,2,33.33,-41.98,-155.7,71.75,-1.259,0.0,2,2026-05-03/2p/-0.26u,2026-05-04/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",A: 05-03..06,edge-loose  EDG≥10 CV≤0.70,4,3,1,2,33.33,-41.98,-155.7,71.75,-1.259,0.0,2,2026-05-03/2p/-0.26u,2026-05-04/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",A: 05-03..06,HR65 loose  HR≥65 EDG≥5  CV≤0.70,3,2,1,1,50.0,-12.96,-183.56,157.63,-0.259,0.5,2,2026-05-03/1p/+0.74u,2026-05-04/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",B: 05-07..10,loose       EDG≥5  CV≤0.70,13,11,5,6,45.45,-21.45,-74.79,31.88,-2.36,0.5,4,2026-05-10/3p/+2.16u,2026-05-08/4p/-4.00u
batter_strikeouts,OVER,"[-149,-110]",B: 05-07..10,medium      EDG≥5  CV≤0.50,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-08/1p/-1.00u,2026-05-08/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",B: 05-07..10,edge-loose  EDG≥10 CV≤0.70,10,9,4,5,44.44,-23.34,-82.74,36.06,-2.1,0.5,4,2026-05-10/3p/+2.16u,2026-05-08/4p/-4.00u
batter_strikeouts,OVER,"[-149,-110]",B: 05-07..10,edge-med    EDG≥10 CV≤0.50,1,1,0,1,0.0,-100.0,-100.0,-100.0,-1.0,0.0,1,2026-05-08/1p/-1.00u,2026-05-08/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",B: 05-07..10,HR65 loose  HR≥65 EDG≥5  CV≤0.70,5,4,3,1,75.0,29.63,-55.07,114.33,1.185,0.667,3,2026-05-10/2p/+1.44u,2026-05-08/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",C: 05-11..15,loose       EDG≥5  CV≤0.70,12,12,5,7,41.67,-24.75,-77.47,27.97,-2.97,0.5,4,2026-05-12/3p/+0.78u,2026-05-14/4p/-4.00u
batter_strikeouts,OVER,"[-149,-110]",C: 05-11..15,medium      EDG≥5  CV≤0.50,2,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-12/1p/-1.00u,2026-05-12/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",C: 05-11..15,edge-loose  EDG≥10 CV≤0.70,11,11,4,7,36.36,-33.49,-88.11,21.13,-3.684,0.25,4,2026-05-12/3p/+0.78u,2026-05-14/4p/-4.00u
batter_strikeouts,OVER,"[-149,-110]",C: 05-11..15,edge-med    EDG≥10 CV≤0.50,2,2,0,2,0.0,-100.0,-100.0,-100.0,-2.0,0.0,2,2026-05-12/1p/-1.00u,2026-05-12/1p/-1.00u
batter_strikeouts,OVER,"[-149,-110]",C: 05-11..15,HR65 loose  HR≥65 EDG≥5  CV≤0.70,7,7,4,3,57.14,2.61,-68.73,73.94,0.183,0.25,4,2026-05-12/2p/+1.78u,2026-05-14/1p/-1.00u
total_bases,OVER,"[-299,-200]",OVERALL,loose       EDG≥5  CV≤0.70,46,41,24,17,58.54,-16.53,-38.35,5.29,-6.776,0.364,11,2026-05-13/2p/+0.81u,2026-05-09/5p/-3.65u
total_bases,OVER,"[-299,-200]",OVERALL,medium      EDG≥5  CV≤0.50,2,2,2,0,100.0,50.0,50.0,50.0,1.0,1.0,1,2026-05-06/2p/+1.00u,2026-05-06/2p/+1.00u
total_bases,OVER,"[-299,-200]",OVERALL,edge-loose  EDG≥10 CV≤0.70,37,33,22,11,66.67,-4.93,-28.28,18.43,-1.627,0.545,11,2026-05-06/6p/+1.35u,2026-05-09/5p/-3.65u
total_bases,OVER,"[-299,-200]",OVERALL,edge-med    EDG≥10 CV≤0.50,2,2,2,0,100.0,50.0,50.0,50.0,1.0,1.0,1,2026-05-06/2p/+1.00u,2026-05-06/2p/+1.00u
total_bases,OVER,"[-299,-200]",OVERALL,HR65 loose  HR≥65 EDG≥5  CV≤0.70,42,38,23,15,60.53,-13.88,-36.34,8.58,-5.276,0.455,11,2026-05-13/2p/+0.81u,2026-05-09/5p/-3.65u
total_bases,OVER,"[-299,-200]",OVERALL,PROD-strict HR≥75 EDG≥10 CV≤0.50,2,2,2,0,100.0,50.0,50.0,50.0,1.0,1.0,1,2026-05-06/2p/+1.00u,2026-05-06/2p/+1.00u
total_bases,OVER,"[-299,-200]",A: 05-03..06,loose       EDG≥5  CV≤0.70,13,13,9,4,69.23,-1.12,-38.55,36.31,-0.146,0.75,4,2026-05-05/2p/+0.70u,2026-05-03/3p/-1.62u
total_bases,OVER,"[-299,-200]",A: 05-03..06,medium      EDG≥5  CV≤0.50,2,2,2,0,100.0,50.0,50.0,50.0,1.0,1.0,1,2026-05-06/2p/+1.00u,2026-05-06/2p/+1.00u
total_bases,OVER,"[-299,-200]",A: 05-03..06,edge-loose  EDG≥10 CV≤0.70,10,10,8,2,80.0,15.03,-22.74,52.8,1.503,0.75,4,2026-05-06/6p/+1.35u,2026-05-03/2p/-0.62u
total_bases,OVER,"[-299,-200]",A: 05-03..06,edge-med    EDG≥10 CV≤0.50,2,2,2,0,100.0,50.0,50.0,50.0,1.0,1.0,1,2026-05-06/2p/+1.00u,2026-05-06/2p/+1.00u
total_bases,OVER,"[-299,-200]",A: 05-03..06,HR65 loose  HR≥65 EDG≥5  CV≤0.70,13,13,9,4,69.23,-1.12,-38.55,36.31,-0.146,0.75,4,2026-05-05/2p/+0.70u,2026-05-03/3p/-1.62u
