combo_label,n_total,n_graded,n_ungraded,wins,losses,pushes,hit_rate_pct,hit_rate_ci95_low,hit_rate_ci95_high,roi_pct,roi_ci95_low,roi_ci95_high,profit_units,stake_units,avg_odds,avg_tp,avg_cv,avg_hr_l20,devig_n_graded,devig_hr,devig_roi,onesided_std_n_graded,onesided_std_hr,onesided_std_roi,onesided_alt_n_graded,onesided_alt_hr,onesided_alt_roi,balanced_score
HR20=80 EDG=10,336,54,282,40,14,0,74.07,61.07,83.88,13.19,-3.82,31.21,7.1245,54.0,-203.536,76.881,0.731,82.965,32,71.88,15.03,22,77.27,10.52,0,,,
HR20=80 EDG=5,403,83,320,56,27,0,67.47,56.81,76.58,3.27,-12.19,18.4,2.7106,83.0,-204.489,75.606,0.733,83.058,52,65.38,4.34,31,70.97,1.47,0,,,0.4196
HR20=80 EDG=2.5,431,99,332,68,31,0,68.69,59.0,76.98,4.5,-8.75,18.2,4.4536,99.0,-204.589,75.001,0.737,83.014,63,66.67,5.31,36,72.22,3.08,0,,,0.4507
HR20=80 EDG=0,461,114,347,77,37,0,67.54,58.5,75.44,2.39,-11.82,16.03,2.7287,114.0,-202.302,74.228,0.741,83.033,75,64.0,0.6,39,74.36,5.84,0,,,0.4186
HR20=80 EDG=-2.5,493,128,365,86,42,0,67.19,58.66,74.72,1.32,-10.64,13.8,1.6868,128.0,-202.783,73.68,0.744,83.142,81,62.96,-1.2,47,74.47,5.65,0,,,0.4066
HR20=80 EDG=-5,520,140,380,92,48,0,65.71,57.53,73.06,-1.34,-13.87,10.89,-1.8701,140.0,-201.49,73.08,0.752,83.06,86,62.79,-2.03,54,70.37,-0.23,0,,,0.3642
HR20=75 EDG=10,642,97,545,69,28,0,71.13,61.45,79.21,11.23,-3.36,25.47,10.8959,97.0,-190.368,74.137,0.784,79.177,62,72.58,18.19,35,68.57,-1.1,0,,,0.5481
HR20=75 EDG=5,758,142,616,95,47,0,66.9,58.81,74.11,3.59,-7.87,15.79,5.0966,142.0,-192.274,73.227,0.787,79.291,92,67.39,8.33,50,66.0,-5.13,0,,,0.4288
HR20=75 EDG=2.5,821,169,652,115,54,0,68.05,60.68,74.61,4.49,-6.12,14.64,7.5949,169.0,-192.899,72.71,0.791,79.214,111,67.57,7.43,58,68.97,-1.13,0,,,0.4582
HR20=75 EDG=0,876,195,681,133,62,0,68.21,61.37,74.34,4.25,-6.12,14.38,8.2917,195.0,-192.154,72.154,0.794,79.234,131,67.18,6.12,64,70.31,0.42,0,,,0.4637
HR20=75 EDG=-2.5,949,224,725,146,78,0,65.18,58.73,71.11,-0.83,-10.44,8.79,-1.8587,224.0,-192.347,71.556,0.799,79.245,145,63.45,0.09,79,68.35,-2.52,0,,,0.3815
HR20=75 EDG=-5,1005,249,756,162,87,0,65.06,58.95,70.71,-1.39,-10.17,7.35,-3.4643,249.0,-191.027,70.999,0.805,79.189,157,63.69,-0.03,92,67.39,-3.72,0,,,0.3799
HR20=70 EDG=10,1068,177,891,126,51,0,71.19,64.12,77.35,12.49,1.4,22.73,22.1022,177.0,-182.457,72.787,0.818,75.526,124,70.97,15.97,53,71.7,4.34,0,,,0.5793
HR20=70 EDG=5,1317,274,1043,183,91,0,66.79,61.01,72.1,5.07,-4.27,13.77,13.8863,274.0,-182.72,71.484,0.823,75.364,191,68.06,10.65,83,63.86,-7.77,0,,,0.4717
HR20=70 EDG=2.5,1459,330,1129,223,107,0,67.58,62.35,72.4,5.41,-2.99,13.1,17.8612,330.0,-183.37,70.848,0.831,75.204,230,68.26,9.97,100,66.0,-5.08,0,,,0.4975
HR20=70 EDG=0,1579,380,1199,256,124,0,67.37,62.5,71.89,4.68,-2.37,12.24,17.7787,380.0,-183.324,70.323,0.834,75.143,267,67.04,7.47,113,68.14,-1.93,0,,,0.4987
HR20=70 EDG=-2.5,1730,446,1284,292,154,0,65.47,60.94,69.73,1.49,-5.48,7.96,6.643,446.0,-181.226,69.546,0.843,75.093,311,64.63,3.46,135,67.41,-3.04,0,,,0.4578
HR20=70 EDG=-5,1870,496,1374,321,175,0,64.72,60.41,68.8,-0.11,-7.0,5.97,-0.5558,496.0,-177.484,68.735,0.852,74.961,343,63.85,1.7,153,66.67,-4.17,0,,,0.4436
HR20=65 EDG=10,1629,262,1367,186,76,0,70.99,65.23,76.15,14.98,5.94,24.04,39.2604,262.0,-170.372,71.631,0.858,71.922,197,71.57,19.45,65,69.23,1.45,0,,,0.6207
HR20=65 EDG=5,2020,407,1613,273,134,0,67.08,62.37,71.46,8.44,0.58,15.74,34.3538,407.0,-169.524,70.244,0.865,71.78,300,69.0,15.01,107,61.68,-9.99,0,,,0.5387
HR20=65 EDG=2.5,2232,482,1750,328,154,0,68.05,63.76,72.06,9.18,2.04,15.49,44.2317,482.0,-168.659,69.509,0.872,71.691,355,69.86,15.51,127,62.99,-8.53,0,,,0.575
HR20=65 EDG=0,2430,553,1877,376,177,0,67.99,63.99,71.75,8.45,2.38,14.7,46.7117,553.0,-168.182,68.918,0.88,71.611,405,69.14,13.6,148,64.86,-5.66,0,,,0.5828
HR20=65 EDG=-2.5,2659,639,2020,421,218,0,65.88,62.12,69.46,4.61,-1.38,10.66,29.4424,639.0,-165.92,68.153,0.887,71.585,463,66.52,8.96,176,64.2,-6.83,0,,,0.5372
HR20=65 EDG=-5,2883,722,2161,471,251,0,65.24,61.69,68.62,3.1,-2.19,8.82,22.3998,722.0,-162.197,67.339,0.895,71.479,520,65.58,6.91,202,64.36,-6.69,0,,,0.5327
HR20=60 EDG=10,2101,338,1763,225,113,0,66.57,61.38,71.39,9.32,0.71,17.76,31.5158,338.0,-157.989,70.192,0.891,69.265,262,66.03,11.91,76,68.42,0.41,0,,,0.5258
HR20=60 EDG=5,2666,541,2125,348,193,0,64.33,60.2,68.25,5.39,-2.02,12.85,29.155,541.0,-157.282,68.753,0.903,68.946,409,65.53,10.61,132,60.61,-10.78,0,,,0.5038
